REGIAO;IMM2019;IMM2018;IMM2017;IMM2016;IMM2015;IMM2014;IMM2013;IMM2012;IMM2011;IMM2010;IMM2009;IMM2008;IMM2007;IMM2006;TUEF2021;TUEF2020;TUEF2019;TUEF2018;TUEF2017;TUEF2016;TUEF2015;TUEF2014;TUEF2013;TUEF2012;TUEF2011;TUEF2010;TUEB2021;TUEB2020;TUEB2019;TUEB2018;TUEB2017;TUEB2016;TUEB2015;TUEB2014;TUEB2013;TUEB2012;TUEB2011;TUEB2010;POPRUA2021;POPRUA2019;POPRUA2015;POPRUA2011;POPRUA2009;POPRUA2000;BF2020;BF2019;BF2018;BF2017;BF2016;BF2015;BF2014;BF2013;FV2021;FV2020;FV2019;FV2018;FV2017;FV2016;FV2015;FV2014;FV2013;FV2012;FV2011;FV2010;AGUA2010;AGUA2000;ESGOTO2010;ESGOTO2000;EXTPOB2020;EXTPOB2019;EXTPOB2018;EXTPOB2017;EXTPOB2016;EXTPOB2015;EXTPOB2014;EXTPOB2013
Jardim Paulista;81,8;80,1;80,12;79,76;79,39;79,34;78,19;78,91;78,18;78,76;77,42;77,03;76,39;78,14;62,11;63,98;12,33;12,42;71,36;12,67;79,78;79,43;78,94;80,55;80,74;81,44;61,15;62,32;11,25;11,16;71,42;72,52;49,89;51,44;21,43;53,04;53,57;10,88;212;123;99;0;82;176;112;106;85;61;1.594;1.473;85;118;0;0;0;0;0;0;0;0;0;0;0;0;0,18;0,32;0,09;2,17;184;227;124;87;1.931;1.184;147;174
Jardim São Luís;63,23;62,48;62,35;62,39;59,76;58,74;59,97;56,9;58,64;58,26;57,96;56,32;57,09;56,21;94,01;98,11;325,17;326,14;98,06;314,67;103,9;106,74;107,66;108,84;107,2;104,82;92,35;85,52;285,73;286,73;96,48;96,04;73,74;70,38;255,02;65,03;35,26;321,62;118;26;13;0;5;15;10.433;13.387;15.733;14.631;14.294;29.315;9.801;8.686;20,55;20,88;21,08;21,47;20,84;21,18;22,61;23,02;23,9;24,45;25,04;25,57;0,19;1,32;9,34;11,8;12.008;16.046;20.771;23.826;19.506;17.457;18.514;15.534
Jardim Ângela;58,75;59,39;58,82;55,95;55,23;55,16;54,57;53,1;53,6;53,9;53,12;51,94;51,21;49,01;95,61;96,81;251,16;251,43;92,19;244,57;96,46;101,22;102,54;103,38;103,29;100,85;92,9;84,12;215,49;218,15;92,83;86,38;173,86;167,92;215,25;157,74;153,39;222,26;25;25;0;0;0;0;18.109;17.827;20.199;14.146;21.412;38.525;13.058;11.197;19,41;19,83;20,32;20,82;21,34;16,45;19,43;20;20,52;22,57;16,87;17,36;2,02;4,29;21,21;37,49;20.238;27.645;26.857;22.739;26.742;23.584;24.163;19.914
Jaçanã;67,1;67,44;67,76;66,69;67,94;66,33;66,81;66,18;66,86;65,23;64,2;64,55;63,22;64,52;145,87;143,4;663,06;660,55;134,85;674,14;134,62;137,23;136,98;135,93;133,5;128,71;134,39;122,87;563,02;577,74;127,5;102,32;917,99;922,45;669,56;889,51;912,67;506,8;236;161;158;0;23;9;3.677;3.992;4.313;2.902;3.578;6.643;2.058;1.739;8,24;8,31;6,98;7,05;7,12;7,19;6,23;6,3;6,19;5,94;9,04;7,58;1,3;1,41;9,42;9,8;4.145;5.433;5.556;4.925;4.141;3.832;3.423;2.679
José Bonifácio;65,24;63,58;63,15;63,67;61,47;62,77;61,92;62,27;61,63;60,97;61,25;60,48;60,11;60,26;84,22;83,89;98,18;98,89;93,48;95,37;96,08;100,86;103,1;105,82;107,18;106,45;84,33;36,12;86,47;88,86;95,56;86,81;201,4;209,52;122,72;205,23;222,81;104,93;142;99;11;0;8;1;3.765;3.675;3.985;3.025;4.904;9.579;2.833;2.381;1,25;1,27;1,29;1,32;1,34;1,46;1,39;1,38;1,41;1,44;1,69;1,73;2,4;2,02;7,11;6,24;4.424;5.701;5.325;4.935;6.152;5.670;5.141;4.041
Lajeado;61,87;59,99;60,78;58,34;58,04;58,73;57,25;55,9;55,18;56,4;56,49;56,93;57,07;54,39;82,27;82,61;81,26;80,07;77,05;79,07;81,45;83,45;83,61;83,05;81,9;78,58;82,6;73,55;73,1;73,65;79,21;79,99;71,37;72,95;47,27;72,8;68,29;84,02;192;86;48;0;14;2;9.659;10.983;11.863;9.866;11.928;23.892;8.546;7.068;7,06;7,17;7,3;7,42;7,55;7,57;9,78;9,68;9,9;10,08;9,75;9,93;1,06;0,7;12,49;19,69;11.299;14.832;16.213;16.187;15.652;13.905;14.497;11.418
Lapa;79,16;78,55;77,96;77,25;76,39;76,75;76,74;74,56;76,89;76,2;75,65;75,05;75,61;76,18;131,01;130,5;133,39;135,82;132,63;140,32;143,67;144,8;146,19;138,03;146,21;150,49;145,83;134,7;140,69;147,3;160,85;139,81;150,96;159,02;149,99;158,25;189,72;185,49;297;305;97;0;68;65;742;1.308;1.358;1.112;431;1.138;207;155;0,51;0,51;0,51;0,51;0,52;0,52;0,52;1,13;1,14;1,15;1,15;1,16;0,16;0,05;0,4;1,55;1.051;1.201;1.753;1.466;544;456;426;345
Liberdade;75,34;74,89;73,53;73,93;73,88;74,16;71,51;72,35;71,96;71,66;71,13;70,26;70,68;71,15;69,2;76,27;78,11;80,65;80,26;84,43;88,1;93,26;95,3;99,41;101,28;99,84;74,18;72,53;76,05;78,26;87,51;94,23;102,94;102,98;157,37;105,42;96,8;122,44;429;339;175;615;414;736;785;988;1.074;703;872;1.519;520;387;0,28;0,28;0,29;0,29;0,29;0,3;0,3;0,3;0,31;0,31;0,32;0,32;0;0;0,08;0,16;1.105;1.393;1.483;1.292;1.024;794;813;665
Limão;71,15;70,56;70,85;69,09;67,87;66,29;68,79;67,76;66,91;68,12;66,53;65,81;63,87;63,65;99,83;104,24;106,65;109,78;108,66;113,26;117,33;119,63;118,5;118,76;120,03;115,63;92,6;86,85;89,37;87,36;103,3;100,72;109,57;112,07;116,66;111,71;108,06;109,83;137;38;23;0;21;2;2.162;2.319;2.310;1.603;2.192;4.055;1.487;1.081;8,25;8,29;8,34;8,39;8,43;9,86;8,53;6,11;6,16;4,91;4,72;4,74;0,18;0,14;3,64;6,57;2.506;3.324;2.984;2.395;2.531;2.222;2.637;1.999
Mandaqui;72,9;72,8;71,9;70,06;72,59;71,33;69,73;70,3;68,95;68,39;68,09;66,63;68,09;66,17;87,57;92,3;93,2;87,94;90,4;94,42;95,79;96,41;95,35;96,7;98,5;97,32;84,31;80,86;81,09;78,22;66,65;91,66;98,14;100,36;43,32;96,57;94,02;98,75;42;20;26;0;7;9;1.163;1.472;1.515;1.384;1.181;2.962;712;770;3,05;3,07;3,1;3,12;3,15;6,76;3,2;3,23;3,26;3,29;3,32;3,35;0,13;0,04;1,4;2,05;1.649;2.016;2.050;1.982;1.419;1.323;1.630;1.458
Marsilac;67,06;59,84;59,05;59,65;61,19;64;56,24;61,96;56,87;57,26;58,1;55,59;51,86;50,43;138,39;140,02;134,03;126,35;113,99;118,55;112,46;111,35;108,22;107,34;104,91;98,21;128,37;114,26;109,88;104,09;311,34;97,43;98,01;100,1;334,01;111,6;93,6;87,14;0;0;0;0;0;0;801;1.137;1.379;932;1.044;1.227;296;198;2,65;2,69;2,73;2,77;2,82;2,86;2,91;2,95;2,98;3,03;3,07;3,11;88,04;97,92;99,62;99,67;767;1.111;1.695;1.598;1.171;981;432;293
Moema;79,92;81,13;79,03;79,56;78,79;77,72;79,38;78,59;77,76;76,49;77,03;77,41;74,46;75,32;126,33;122,48;114,68;113,13;108,85;111,51;115,02;117,48;121,05;122,17;125,25;126,95;127,53;116,67;109,3;107,28;114,9;103,4;105,42;106,01;108,76;115,32;118,61;132,42;357;63;44;0;72;38;115;89;74;47;62;212;40;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,34;162;218;125;63;84;82;94;78
Morumbi;73,54;73,75;71,48;72,42;72,88;72,84;72,68;70,23;72,51;71,68;69,47;70,72;67,93;68,62;106,24;112,27;109,11;102,83;102,89;109,97;112,35;112,59;119,16;118,52;124,22;124,42;105,17;103,51;99,37;93,28;104,19;97,8;400,91;411,68;174,01;414,27;455,55;124,31;9;12;5;0;10;1;1.319;1.190;1.240;1.368;1.711;3.755;1.140;1.048;14,58;14,07;14,27;14,47;14,68;14,89;14,92;15,09;15,37;15,66;14,53;14,81;1,02;0,55;5,35;8,26;1.465;1.991;1.637;2.041;2.102;1.934;2.386;2.049
Moóca;77,74;77,06;75,77;77,34;76,48;75,4;75,11;74,86;73,76;74,59;75,04;73,68;72,96;73,42;80,75;82,35;81,21;85,11;84,1;88,23;91,7;92,73;92,43;94;98,88;101,74;90,18;82,91;81,77;84,74;91,01;89,95;86,46;87,5;265,45;90,21;94,01;113,98;1.511;1.317;1.359;159;1.280;1.061;2.002;2.004;1.918;1.552;2.957;3.910;536;1.194;0,17;0,17;0,17;0,17;0,18;0,18;0,18;0,18;0,18;0,18;0,19;0,19;0,22;0,15;0,77;0,43;3.255;3.489;2.853;2.553;3.577;3.061;921;1.512
Parelheiros;60,26;60,1;60,48;60,29;59,51;57,25;56,3;57,79;55,35;55,37;54,71;52,72;52,73;49,86;110,94;113,08;115,07;113,93;110,27;111,48;112,48;113,55;113,64;113,21;111,48;107,78;106,12;95,86;97,06;97,49;106,79;101,75;32,29;32,09;43,4;28,15;20,73;107,01;40;16;1;0;0;0;9.133;8.939;10.037;7.267;10.618;18.345;6.085;5.342;8,11;8,29;8,51;8,72;8,95;8,06;9,42;9,68;9,96;10,25;10,29;10,59;16,58;41,04;63,07;81,37;9.332;13.477;12.522;11.676;12.379;12.455;10.823;9.058
Pari;69,29;68,43;67,6;69,12;66,73;68,17;69,67;67,37;64,58;66,7;66,82;66,27;64,75;68,19;189,85;212,25;222,11;227,83;217,48;228,9;238,55;246,49;259,52;251,92;258,99;265,5;192,5;192,77;206,3;208,83;228;213,87;396,53;382,97;768,55;395,59;511,35;248,79;1.618;1.189;897;853;874;318;923;936;1.038;466;1.108;1.611;281;492;2,04;2,06;2,09;2,11;2,14;2,16;2,19;2,22;2,25;2,28;2,31;2,35;0,2;0,2;7,6;1,68;1.469;1.528;1.495;782;1.335;1.097;652;862
Parque Do Carmo;64,04;63,74;64,19;61,96;59,93;61,19;59,23;58,93;60,54;58,61;60,06;58;56,68;56,66;100,74;103,52;104,51;105,58;101,33;104,64;105,51;108,67;109,85;110,69;113,53;112,69;96,84;87,1;87,61;90,28;99,4;87,42;178,98;184,43;139,51;181,54;182,15;106,08;79;26;0;0;0;1;3.176;3.496;3.429;2.434;4.261;7.771;2.556;2.060;16,36;16,57;16,8;17,04;17,28;12,15;16,64;16,61;16,87;17,15;15,08;15,33;0,78;0,4;15,82;17,82;3.707;13.625;13.577;11.688;10.641;9.760;8.453;6.041
Pedreira;63,03;61,96;59,48;61;60,87;60,65;59,17;57,5;57,71;59,65;56,77;57,01;57,74;55,3;103,02;100,39;97,98;95,83;90,69;91,02;90,7;92,78;93,2;93,15;92,18;91,94;93,72;82,91;80;79,23;84,47;81,98;79,26;80,18;55,63;76,54;78,07;85,89;39;14;0;0;0;0;9.147;9.755;10.373;7.396;9.005;16.770;4.815;3.396;18,08;18,43;18,85;19,27;19,71;15,02;18,52;19;19,49;19,99;24,04;26,36;0,63;2,02;20,11;51,89;11.902;4.165;4.485;4.540;3.651;3.374;3.421;2.780
Penha;72,4;72,45;72,28;71,8;70,83;70,84;70,46;69,9;70,85;68,96;69,99;69,19;69,07;69,04;118,29;119,07;120,76;117,9;115,32;116,08;116,8;116,89;115,48;115,58;117,43;119,38;130,92;118,68;118,85;119,25;131,59;120,44;56,55;56,21;90,41;57,88;56,48;128,43;368;264;180;0;277;111;2.651;3.181;3.449;2.883;3.028;5.716;1.873;1.546;6,11;6,13;6,17;6,21;6,25;6,28;6,02;6,09;5,22;5,26;4,94;4,98;0,4;0,3;2,03;4,62;3.488;296;295;242;256;227;260;199
Perdizes;79,4;78,33;79;78,49;78,55;76,96;76,78;76,25;77,02;75,79;77,13;75,66;75,96;75,2;84,3;84,12;82,67;84,19;83,05;81,56;79,74;80,61;82,21;83,58;84,93;86,71;79,88;76,22;75,78;77,02;86,22;74,95;141,42;147,17;91,61;152,25;161,49;93,26;27;31;29;0;37;47;175;211;200;233;218;872;128;107;0;0;0;0;0;0;0;0;0;0;0;0;0;0,06;0,06;0,67;242;8.040;7.762;7.480;6.569;6.122;4.528;2.947
Perus;61,27;61,85;59,8;61;60,23;59,65;58,79;57,93;56,89;59,51;56,05;58,78;57,33;56,69;101,59;103,54;104,54;106,02;101,36;103,32;107,63;110,8;109,99;111,87;112,05;109,93;102,28;92,61;93,58;98,53;106,66;101,67;64,46;65,56;132,09;60,28;59,82;112,37;118;18;6;0;5;8;5.345;5.614;6.041;4.359;5.602;8.635;2.690;1.741;10,46;10,65;10,86;11,07;11,29;11,52;11,75;12;12,25;12,51;28,06;29,09;1,82;8,42;14,4;28,41;6.617;759;986;750;505;419;327;317
Pinheiros;78,77;78,38;79,38;79,2;79,64;79,72;77,71;77,08;77,62;76,99;76,79;76,63;76,26;74,83;124,44;129,49;128,37;132,14;129,01;130,18;132,74;140,83;138,72;134,74;139,14;137,13;138,29;134,3;135,71;139,02;154,13;137,07;353,31;387,48;274,17;397,06;474,28;165,51;273;238;134;0;236;202;450;667;718;483;391;897;177;197;0,08;0,08;0,08;0,08;0,08;0,08;0,08;0,08;0,08;0,08;0,08;0,08;0;0;0,07;0,97;745;5.677;5.659;5.665;5.559;5.778;6.706;4.908
Pirituba;68,5;68,88;67,86;68,57;67,71;67,68;66,23;66,59;66,35;65,84;65,35;65,67;63,33;63,37;100,32;104,49;104,68;105,44;103,27;107,55;109,84;114,19;110,9;112,16;112,71;111,49;97,52;91,46;91,14;92,36;101,94;85,02;55,4;55,96;59,6;55,02;51,83;99,47;38;37;11;0;12;13;3.586;3.866;4.537;4.075;4.644;10.440;3.684;2.512;6,77;6,82;6,88;6,94;7;6,89;7,13;7,19;6,72;6,79;6,48;6,55;0,26;0,2;5,51;7,54;4.302;3.842;3.625;2.997;3.371;3.201;3.543;2.815
Ponte Rasa;69,7;68,21;69,29;68,42;67,6;66,81;66,36;65,81;66,04;66,6;64,92;64,91;64,77;65,62;106,84;107,81;108,93;109,19;101,52;104,6;105,47;105,58;105,09;104,89;103,63;101,42;99,66;90,72;92,36;91,12;95,24;90,64;114,88;116,81;42,51;113,16;109,56;92,65;109;49;7;0;8;4;2.640;2.783;2.861;1.860;2.850;5.300;2.049;1.778;3,42;3,43;3,45;3,46;3,47;3,53;3,5;3,51;3,6;3,49;3,84;3,85;0,15;0,12;4,83;8,11;3.170;4.785;4.562;4.088;5.124;4.444;4.435;3.459
Raposo Tavares;64,48;64,56;65,61;63,36;62,1;61,79;61,78;63,29;62,5;61,34;60,77;60,21;60,75;58,99;88,94;94,56;95,59;92,29;87,03;88,85;87,72;90,85;85,25;93,04;91,29;88,82;88,46;82,01;84,82;84,12;94,36;90,82;19,64;18,99;87,52;17,17;7,89;94,87;163;138;0;0;0;3;3.123;3.158;3.264;2.881;3.411;7.835;2.264;2.206;11,08;11,22;11,66;11,84;12,01;12,09;12,21;12,56;12,77;12,99;12,95;12,85;0,07;0,77;5,01;6,61;3.745;4.874;4.423;4.052;4.198;3.657;4.849;4.112
República;68,92;67,11;68,09;68,08;67,71;65,13;65,11;67,39;65,41;66,63;65,59;63,27;65,75;64,7;20,84;21,48;21,38;22,38;21,49;22,93;24,93;23,84;22,48;30,41;33,08;30,56;18,02;16,6;16,94;17,7;18,86;19,94;297,36;301,85;490,87;308,48;330,17;25,39;2.656;1.806;923;1.207;1.770;796;2.263;3.161;3.562;1.099;2.340;4.324;1.000;978;0;0;0;0;0;0;0;0;0;0;0;0;0;0,13;0,15;0,27;3.279;3.829;4.872;1.574;2.865;2.225;1.370;1.478
Rio Pequeno;69,23;69,73;68,5;69,27;67,09;66,31;65,9;65,49;66,41;65,53;65,37;64,09;64,77;60,58;82,95;85,52;87,43;95,22;95,56;99,77;101,54;99,64;99,67;99,82;101,53;99,13;79,57;72,69;74,05;79,82;84,98;99,18;176,2;182,52;85,41;175,56;180,03;100,31;13;18;11;0;9;11;2.950;3.176;3.450;2.677;3.745;7.879;2.196;2.301;20,44;20,6;20,8;20,96;21,15;21,38;21,56;21,8;21,98;22,22;20,03;20,26;0,12;0,21;7,59;11,6;3.545;4.791;4.848;3.921;4.605;3.599;5.009;4.548
Sacomã;68,51;68,24;68,89;67,62;67,61;66,85;65,64;66,23;66,12;66,11;65;64,26;63,39;63,98;86,34;85,82;86,58;86,98;83,35;85,73;87,16;90,14;90,12;88,44;89,66;86,37;82,31;74,27;74,94;75,42;80,77;81,77;33,08;34,33;50,67;33,49;22,74;87,77;50;20;101;0;20;13;6.272;7.006;7.836;6.965;7.631;17.959;5.778;4.530;23,65;23,93;24,27;24,62;24,97;25,39;25,7;26,14;26,94;27,41;30,01;30,95;0,12;0,67;5,18;9,2;7.540;2.288;2.175;2.101;2.562;2.659;3.232;2.528
Santa Cecília;74,4;74,44;73,31;72,32;73,45;72,65;71,74;73,49;72,91;71,22;71,41;71,74;70,33;71,9;62,27;66,02;67,75;72,09;71,66;78,55;84,77;88,56;95,25;97,52;102,99;102,34;62,07;59,1;61,73;66,43;77,38;90,79;220,5;226,79;198,67;233,6;275,65;118,06;5.006;5.105;1.828;2.517;1.334;485;2.971;3.297;3.430;3.625;4.562;6.256;1.010;1.517;0;0;0;0;0;0,96;0,97;0,99;1;1,01;1,03;1,04;0,06;0,03;0,05;0,12;4.339;4.352;4.385;4.000;3.924;3.464;3.126;2.487
Santana;76,47;75,96;75,31;75,4;75,45;75,07;74,8;73,58;73,68;73,06;72,93;72,68;71,56;71,99;145,77;152,67;163,88;168,88;165,35;170,81;174,12;170,14;166,64;164,69;171,38;172,27;153,93;145,87;154,65;158,42;170,03;156,92;150,88;149,45;163,04;144,52;143,55;169,98;1.124;995;298;0;387;354;1.526;1.250;1.183;1.435;1.700;2.399;292;424;0,23;0,23;0,23;0,23;0,23;0,23;0,23;0,23;0,23;0,23;0,23;0,23;0;0;1,01;1,35;2.490;9.819;12.708;14.357;10.542;10.434;10.841;7.748
Santo Amaro;77,6;78,46;76,68;77,58;76,54;76,46;77,13;75,39;75,53;74,03;74,57;73,49;72,97;71,27;185,12;196,69;196,96;194,77;179,5;185,62;189,91;196,68;199,3;197,04;201,04;207,35;200,32;195,37;202,54;198,23;209,44;191,42;195,64;203,47;305,23;206,97;219,11;228,3;553;412;3;0;402;254;1.095;1.476;1.541;822;1.174;1.552;281;253;0,16;0,16;0,16;0,16;0,16;0,16;0,16;0,17;0,17;0,17;0,17;0,17;0,09;0,25;1,56;1,76;1.856;5.523;7.801;10.355;5.514;5.451;5.522;4.187
Sapopemba;64,95;64,68;64,06;64,14;63,55;62,3;62,62;62,1;61,03;60,71;60,05;59,54;59,27;58,4;78,67;77,78;77,94;78,96;75,23;77,75;78,6;80,86;80,91;81,25;81,61;81,19;74,56;66,54;67,21;69,04;74,14;71,47;16,43;16,39;24,19;16;5,76;81,61;44;17;32;0;20;11;13.267;13.073;13.890;12.342;15.032;31.533;12.226;10.695;19,01;19,21;19,42;19,63;19,85;20,06;20,26;20,51;20,77;20,85;20,06;20,7;0,36;0,47;7,38;10,31;15.644;2.540;2.204;2.083;1.877;1.366;2.638;1.935
Saúde;78,42;77,7;77,79;77,1;77,57;77,27;75,98;74,83;75,48;75,88;74,73;74,06;73,18;73,44;81,86;85,46;88,59;89,68;88,36;93,51;93,65;96,23;97,72;95,39;100,46;102,34;81,84;79,85;83,12;84,07;90,97;90,95;63,1;65,24;122,97;68,48;66,81;112,9;340;309;25;0;45;51;724;771;731;612;743;1.804;581;375;0,93;0,93;0,94;0,95;0,95;0,96;0,97;0,98;0,99;0,98;0,99;1;0,16;0,05;0,64;0,7;1.009;926;1.298;1.714;831;762;635;549
Socorro;71,85;74,7;74,46;70,83;72,3;73,04;73,35;70,61;71,14;69,19;68,74;68,19;66,82;69,32;160,84;174,69;184,8;206,69;201,12;202,36;199,63;198,86;193,79;203,01;206,07;208,21;157,82;149,72;156,5;172,73;172,45;169,68;459,18;471,41;365,6;454,78;488,62;191,91;17;12;10;0;14;6;522;925;1.037;1.262;646;1.836;431;356;6,16;6,16;6,17;6,17;6,17;6,17;6,17;6,18;6,18;6,18;6,12;6,12;0,17;0,25;0,27;1,51;752;1.897;2.083;1.269;1.436;1.042;442;405
São Domingos;70,9;70,45;69,94;68,26;68,98;68,25;68,4;66,52;65,76;66,52;62,66;64,66;64;64,61;86,03;86,23;83,93;83,52;82,62;85,02;87,52;93,29;92,72;92,76;93,99;92,94;79,33;71,07;69,89;69,93;76,73;90,41;206,81;214,68;173,17;216,76;229,79;100,73;32;25;19;0;4;10;1.394;1.543;1.707;1.520;2.097;4.607;1.669;1.305;12,11;12,21;12,32;12,44;12,56;13,02;12,8;12,94;13,06;13,2;13,3;13,45;0,39;0,6;12,21;20,79;1.756;12.358;10.649;9.542;13.533;13.728;12.332;9.442
São Lucas;71,48;71,89;71,08;70,92;69,68;69,11;68,96;68,62;69,12;68,9;68,04;66,45;64,96;67,51;88,9;90,54;89,47;89,51;85,95;87,9;89,27;91,34;91,15;92,35;92,84;92,58;83,49;77,79;77,69;78,52;83,72;78,53;115,09;119,61;140,87;119,47;144,59;89,11;36;16;14;0;14;10;2.807;3.072;3.334;2.514;3.306;6.056;1.981;1.703;4,34;4,36;4,39;4,42;4,46;4,49;4,52;4,56;4,6;4,64;4,55;4,68;0;0,16;3,68;5,02;3.659;9.719;10.279;10.633;9.940;9.152;9.173;7.253
São Mateus;67,17;65,55;66,61;65,33;64,64;63,05;62,9;61,36;63,29;62,74;61,33;61,43;60,48;60,25;111,72;115,44;116,89;125,61;120,81;123,95;124,98;125,84;121,64;121,07;117,91;115,54;106,17;97,86;100,31;107,01;110,92;107,61;108,47;109,82;130,66;105,77;105,41;117,09;267;213;158;0;156;21;6.382;9.184;10.169;9.249;8.365;17.633;6.727;4.855;6,11;6,17;6,23;6,28;6,34;6,4;8,32;8,45;8,54;8,62;10,84;10,94;0,16;0,33;5,1;12,07;8.066;2.616;1.616;2.226;2.048;1.545;610;673
São Miguel;66,73;68,1;65,88;66,44;66,18;65,64;64,8;64,9;64,4;63,26;63,25;63,51;61,57;61,09;170,2;181,33;191,54;196,3;192,23;201,77;208,26;207,78;198,23;200,79;192,64;190,97;166,45;156,31;165,17;169,9;190,1;145,21;225,42;231,9;118,21;228,51;250,63;155,1;332;161;138;0;108;22;3.835;5.721;6.210;6.371;4.304;8.376;3.117;2.544;2,9;2,91;2,92;2,93;2,94;2,95;2,96;2,86;2,57;2,57;2,57;2,57;0,43;0,4;9,39;12,34;4.319;19.322;17.870;18.621;18.421;17.775;18.582;15.901
São Rafael;60,23;59,82;61,67;60,27;58,76;57,31;58,18;57,83;55,61;56,98;55,5;56,98;54,37;54,53;99,97;100,34;96,85;95,52;90,67;96,41;97,04;100,1;101,71;102,87;103,46;98,7;94,46;86,39;83,89;83,56;93,84;90,7;52,56;53,2;31,31;53,09;44,22;98,47;20;197;3;0;0;3;8.370;7.751;8.326;6.115;10.519;21.925;7.593;5.840;9,33;9,51;9,72;9,93;10,15;9,52;8,69;44;23,69;24,28;14,06;14,42;7,65;4,93;20,87;26,63;9.645;1.161;1.004;854;888;852;901;650
Sé;66,16;64,69;64,92;62,08;60,29;63,52;62,05;65,84;62,2;63,97;68,01;63,35;62,57;62,27;30,86;33,24;36,81;45,32;56,51;66,79;68,66;70,53;81,02;86,9;82,39;69,13;31,35;26,27;27;32,08;53,72;55,51;631,08;610,84;733,67;603,7;628,11;78,99;2.149;1.539;1.448;1.239;1.334;820;1.494;1.488;1.411;1.087;1.536;2.301;660;1.001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,22;2.260;4.714;4.953;6.088;5.567;4.620;1.564;2.138
Tatuapé;76,94;76,26;76,66;74,7;75,27;75,04;75,16;73,97;74,04;72,86;73,4;73,92;73,46;72,45;188,49;192,56;199,39;196,77;188,96;191,39;188,33;185,43;181,05;176,53;174,63;170;212,99;203,15;204,71;204,73;216,46;200,38;190,57;194,56;198,6;189,5;195,26;202,93;339;237;369;92;665;328;883;1.452;1.752;1.644;1.346;1.898;481;519;0,97;0,98;0,99;1;1,01;1,18;1,19;1,2;1,02;1,04;1,05;1,06;0,15;0,4;1,3;1,19;1.211;1.396;2.336;2.666;1.579;1.289;823;819
Tremembé;65,88;66,31;65,55;64,3;65,04;63,7;65,3;63,99;63,74;63,42;60,62;62,64;62,5;61;66,13;68,19;68,93;70,35;67,48;68,9;69,97;73,1;72,86;72,05;72,61;70,72;59,07;53,84;54,41;55,45;60,48;63,13;50,42;52,22;71,18;50,7;49,51;73,08;61;29;6;0;2;0;7.354;7.254;8.448;6.235;7.552;12.945;3.210;3.415;10,68;10,85;11,06;11,28;11,5;11,67;12,22;12,49;12,77;13,05;12,44;12,72;2,03;3,48;15,78;23,43;8.498;11.455;11.187;10.044;9.002;7.607;6.870;6.368
Tucuruvi;75,16;74,37;73,95;74,62;73,56;74,27;72,93;72,04;72,22;73,03;72,04;69,85;70,48;70,6;162,61;166,36;164,77;161,58;156,79;164,73;162,46;163,63;166,66;165,37;168,91;165,11;165,89;154,16;153,84;153,83;171,25;164,59;217,96;223,2;131,47;231,93;246,46;166,39;66;19;10;0;12;8;865;940;925;668;673;1.789;379;424;0,71;0,71;0,71;0,71;0,71;0,72;0,72;0,72;0,73;0,73;0,74;0,74;0;0,08;4,77;4,06;1.201;1.473;1.274;1.011;840;741;928;862
Vila Andrade;66,73;63,85;64,45;64,16;62,44;61,57;59,82;58,9;58,09;59,09;58,86;58,99;57,48;55,9;82,36;80,58;77,25;73,68;72,01;72,43;70,78;75,27;76,9;78,47;79,24;78,57;80,43;70,65;67,14;65,06;69,05;65,54;53,16;51,32;39,26;57,02;60,41;73,2;114;7;2;0;5;0;3.702;4.340;4.786;4.117;5.053;11.287;2.687;3.070;32,69;33,56;34,66;35,8;36,99;39,22;39,44;41,61;43,47;45,42;47,36;49,47;0,44;0,38;6,84;25,43;4.162;5.781;6.243;6.206;6.743;5.563;6.725;6.535
Vila Curuçá;65,34;63,89;62,8;63,71;61,81;61,77;60,88;59,97;62,12;60,4;59,48;58,45;58,71;57,29;110,83;111,95;110,92;109,87;103,65;105,18;104,1;106,4;107,87;107,17;107,36;104,8;101,5;92,76;91,25;90,71;97,41;94,8;39,51;38,33;80,8;36,47;27,89;104,57;37;9;34;0;46;0;6.825;7.594;7.933;6.983;7.703;17.142;6.565;5.153;6,65;6,5;6,59;6,93;6,78;7,69;6,81;7,12;7,22;7,32;10,04;10,18;0,44;0,66;5,89;12,82;8.006;10.272;10.441;11.275;10.351;9.929;11.334;8.568
Vila Formosa;73,65;73,06;73,56;72,5;72,33;70,1;72,25;69,88;70,65;71,75;68,98;68,68;69,9;68,51;104,65;109,01;114,51;114,5;110,34;112,65;111,99;109,9;107,57;107,56;109,36;104,21;108,62;101,47;105,5;104,37;112,76;107;188,43;188,11;85,87;188,21;182,71;104,24;39;16;17;0;11;6;1.827;2.158;2.224;1.862;1.617;3.388;1.041;898;0,9;0,9;0,91;0,91;0,92;0,92;0,93;0,93;0,94;0,95;0,96;0,97;0,07;0,18;0,47;2,57;2.284;2.673;2.838;2.847;1.949;1.662;1.913;1.555
