Num;Regiao;Total;Pop_10_a_14_anos;Pop_15_a_19_anos;Pop_20_a_24_anos;Pop_25_a_29_anos;Pop_30_a_34_anos;Pop_35_a_39_anos;Pop_40_a_44_anos;Pop_45_a_49_anos;Pop_50_a_54_anos;Pop_55_a_59_anos;Pop_60_a_64_anos;Pop_65_a_69_anos;Pop_70_a_74_anos;Pop_75_a_79_anos;Pop_80_a_84_anos;Pop_85_a_89_anos;Pop_90_a_94_anos;Pop_95_a_99_anos;Pop_100_anos_ou_mais;cod_rgi
233;Araçuaí;47953;3153;3600;3576;3214;3321;3461;3445;3218;2894;2911;2548;2006;1708;1305;1017;620;334;98;31;310017
234;Pedra Azul;45378;3161;3479;3608;3401;3303;3309;3242;2843;2706;2483;2125;1846;1601;1168;846;490;234;80;23;310018
235;Águas Formosas;23526;1692;1773;1605;1551;1545;1638;1678;1534;1312;1343;1162;998;817;664;492;288;127;39;12;310019
236;Governador Valadares;217371;12778;14140;15767;14816;14972;15813;16402;14938;14588;14336;12308;10236;7902;5719;4062;2392;1094;292;83;310020
237;Guanhães;92843;6016;6782;6713;6367;6517;6616;6521;5879;5818;5607;4975;4158;3368;2505;1906;1275;554;193;49;310021
238;Mantena;30921;1808;2020;1964;1888;1844;2292;2400;2194;2226;2074;1811;1537;1200;890;618;375;165;48;11;310022
239;Aimorés - Resplendor;29527;1766;1850;1884;1865;1825;1987;2161;2134;2024;1931;1737;1485;1230;871;585;352;169;39;11;310023
240;Ipatinga;308620;18388;19257;21510;21714;22206;23332;25244;21633;21079;20155;17969;14557;10206;6790;4738;2845;1273;336;72;310024
241;Caratinga;114001;6983;7662;7759;7444;7813;8501;8664;7997;7690;7489;6310;5459;4010;2779;2078;1234;574;165;47;310025
242;João Monlevade;78700;4510;4832;5346;5258;5470;5737;6204;5230;5332;5447;4854;3857;2941;2158;1447;874;403;135;30;310026
243;Juiz de Fora;373145;18942;21450;26267;27018;27044;26822;28452;24821;25195;26111;24049;20157;15447;10395;7023;4315;2086;618;97;310027
244;Manhuaçu;176838;11425;12767;13362;12745;12834;13702;13247;11525;11062;10204;8860;7394;5473;3742;2669;1607;750;223;53;310028
245;Ubá;135854;7912;8341;9518;10013;10215;10357;10254;9227;9068;9130;7801;6284;4736;3289;2299;1428;657;189;26;310029
246;Ponte Nova;91216;5071;5734;6017;6097;6155;6490;6942;6154;6113;6347;5491;4783;3659;2648;1898;1218;593;174;33;310030
247;Muriaé;90156;5067;5645;6157;6403;6526;6834;6984;6081;6086;5736;5429;4557;3354;2247;1577;924;438;132;32;310031
248;Cataguases;87487;4753;5024;5460;5673;6047;6268;6574;5912;6166;6088;5774;4684;3815;2702;1855;1096;499;165;22;310032
249;Viçosa;84713;4654;5385;6193;6287;6261;6574;6578;5715;5475;5564;5023;4226;2926;2052;1550;963;465;132;28;310033
250;Carangola;56246;3485;3854;4072;4023;3875;4130;4228;3748;3579;3385;3161;2733;2005;1258;947;548;255;93;22;310034
251;São João Nepomuceno - Bicas;36973;2024;2251;2389;2602;2573;2635;2607;2417;2436;2584;2458;1924;1534;1045;692;473;230;50;7;310035
252;Além Paraíba;27218;1561;1577;1737;1873;1763;1818;2019;1741;1897;1877;1829;1494;1083;786;542;368;156;66;9;310036
253;Barbacena;114551;6158;6957;7601;7949;8127;8275;8798;8056;8445;8104;7384;5855;4407;3094;2008;1187;561;134;27;310037
254;Conselheiro Lafaiete;177140;10425;10893;12151;12731;13437;13484;13859;11944;11772;11746;10682;8241;6100;4115;2873;1671;770;193;34;310038
255;São João del Rei;95345;5100;5604;6522;6702;6797;6700;7416;6832;6718;6912;6199;4851;3539;2482;1741;956;466;108;26;310039
256;Varginha;101566;5934;6476;7147;7520;7570;7914;8462;6960;6579;6366;5846;4817;3371;2139;1467;784;364;91;13;310040
257;Passos;130132;7647;8076;9279;9293;9315;9242;9874;8799;8945;8587;7711;6443;4698;3267;2051;1117;450;143;22;310041
258;Alfenas;125769;7492;8084;8914;8756;9095;9302;9466;8590;8520;8217;7416;6093;4602;3144;2159;1204;486;139;31;310042
259;Lavras;116417;6185;7365;8858;8577;8525;8899;8762;7685;7501;7503;6876;5880;4212;2919;1956;1145;503;154;27;310043
260;Guaxupé;78882;4478;4771;5427;5645;5921;5880;5948;5329;5389;5201;4838;4007;2878;1939;1301;753;305;88;10;310044
261;Três Corações;64108;3863;4279;4628;4744;4560;4814;4896;4213;4081;4138;3613;3043;2141;1476;982;556;225;76;14;310045
262;Três Pontas - Boa Esperança;62580;3742;4074;4698;4526;4492;4650;4707;4114;4145;3908;3708;3118;2113;1421;968;554;228;65;14;310046
263;São Sebastião do Paraíso;59565;3453;3648;4159;4214;4318;4357;4499;3919;3822;3803;3616;2965;2237;1608;1100;561;269;64;6;310047
264;Campo Belo;44198;2528;2580;2986;2967;3027;3308;3500;3087;2977;2808;2792;2412;1713;1262;800;512;224;50;15;310048
265;Piumhi;28681;1544;1799;2046;2114;2115;2235;2281;2018;1903;1818;1745;1363;1042;709;483;266;116;36;3;310049
266;Pouso Alegre;289086;16842;18036;20735;21423;21798;22432;22758;20069;19249;18457;16420;13348;9891;6522;4179;2323;1056;254;47;310050
267;Poços de Caldas;139349;7626;8051;9657;10071;9844;10590;11027;9743;9436;9224;8501;7364;5493;3758;2528;1384;590;178;28;310051
268;Itajubá;99979;5762;5923;6859;7042;6978;7279;7305;6772;6818;7047;6286;5097;3676;2571;1719;969;433;113;21;310052
269;São Lourenço;93491;5444;5765;6083;6333;6316;6877;7399;6304;6389;6369;5920;4941;3628;2478;1689;902;412;119;23;310053
270;Caxambu - Baependi;36999;2011;2156;2342;2512;2522;2550;2733;2461;2592;2696;2453;2094;1531;1091;763;452;192;56;8;310054
271;Uberaba;232500;14203;14864;17189;17925;18237;18504;18490;15482;14417;13939;12535;9996;7539;5106;3423;1962;892;264;46;310055
272;Araxá;89666;5585;5832;6203;6678;6960;7281;7056;6016;5726;5572;4785;3912;2693;1839;1204;641;264;71;14;310056
273;Frutal;52877;3428;3464;3537;3824;4084;4261;4202;3557;3539;3305;2912;2261;1646;1180;734;405;139;56;7;310057
274;Iturama;32885;2009;2148;2490;2468;2513;2462;2678;2438;2294;2062;1722;1252;948;622;364;197;107;23;7;310058
275;Uberlândia;494158;28849;31319;36636;38950;39326;39364;39723;34150;32020;30652;26549;20710;15295;10128;6987;3986;1747;482;98;310059
276;Ituiutaba;76462;4368;4579;4871;5369;5383;5472;5788;5509;5615;5357;4475;3566;2870;2080;1383;774;334;107;18;310060
277;Monte Carmelo;37032;2168;2379;2606;2736;2631;2612;2934;2684;2645;2426;2156;1586;1256;835;529;270;133;35;11;310061
278;Patos de Minas;255137;15410;17158;19732;20062;19720;19428;19732;17850;17120;15480;13218;10233;7532;5118;3598;1900;881;283;67;310062
279;Unaí;90442;6044;6752;7061;6826;6605;7006;7119;6247;5495;5163;4402;3458;2446;1652;1085;536;266;77;19;310063
280;Patrocínio;70788;4306;4704;5329;5291;5368;5463;5376;4842;4800;4317;3735;2919;2206;1488;972;530;240;62;12;310064
281;Divinópolis;356016;20537;22604;26985;28206;28312;27926;28560;24257;23066;22109;19054;14998;10871;7411;4966;2810;1185;361;60;310065
282;Formiga;86395;4514;4891;5539;6059;6193;6496;6645;6020;6263;6315;5527;4579;3231;2304;1549;874;337;85;17;310066
283;Dores do Indaiá;71960;4112;4556;4942;5219;5091;5147;5414;4812;4994;4809;4264;3468;2557;2014;1259;754;332;93;19;310067
284;Pará de Minas;71167;4176;4592;5418;5612;5550;5435;5679;4879;4771;4453;3695;3027;2158;1558;941;610;246;78;14;310068
285;Oliveira;58244;3091;3524;3965;3768;3975;4247;4442;4268;4229;4028;3738;3024;2182;1610;1146;661;310;74;16;310069
286;Abaeté;19753;1051;1146;1214;1347;1215;1415;1364;1314;1527;1506;1342;1103;827;585;420;213;95;28;5;310070
287;Vitória;1010615;60966;62585;71067;73358;78088;85599;85095;69211;64073;60919;55326;44959;31209;19734;13398;8096;3932;1149;239;320001
288;Afonso Cláudio - Venda Nova do Imigrante - Santa Maria de Jetibá;115160;6798;7508;7853;8051;8518;9343;9498;8059;7568;6969;6090;5053;3832;2572;1798;1024;482;134;25;320002
289;São Mateus;136559;9269;10031;9953;9948;9971;10831;10818;9362;8467;7751;6797;5325;3661;2433;1721;958;425;123;46;320003
290;Linhares;167977;11513;11812;12519;12856;13385;13901;13775;11215;9948;8967;7806;6323;4243;2700;1791;1156;516;160;29;320004
291;Colatina;152908;8890;9369;10099;10504;11027;11849;12055;10610;10546;9900;8915;7090;5252;3641;2633;1606;673;233;34;320005
292;Nova Venécia;67758;4186;4414;4521;4727;4804;5206;5247;4836;4597;4298;3764;3081;2100;1436;1045;550;257;85;28;320006
293;Cachoeiro de Itapemirim;214751;12767;13460;14276;15009;16083;16889;17281;14361;14035;13965;12419;10111;7090;4572;3402;1992;914;291;54;320007
294;Alegre;97921;6161;6609;7006;6956;7090;7383;7594;6429;6240;5817;5235;4431;3194;2153;1466;916;456;128;23;320008
295;Rio de Janeiro;6242353;339921;361121;427024;446020;450191;472539;502084;435331;418338;401165;375049;318911;242688;160148;109865;66154;32344;9436;1692;330001
296;Angra dos Reis;108652;6906;7324;7796;8113;8167;8984;9421;7562;6951;6570;5765;4308;2971;1749;959;576;236;66;12;330002
297;Rio Bonito;69005;3938;4351;4802;4948;4783;4991;5536;4949;4837;4330;4099;3285;2477;1536;1029;574;304;91;18;330003
298;Volta Redonda - Barra Mansa;328751;17962;18982;21666;21920;22208;23939;26003;22315;22365;23567;22116;18399;13243;8397;5472;3307;1497;420;67;330004
299;Resende;100879;6100;6158;7117;7321;7469;8046;8370;7146;6746;6407;5720;4503;3374;2099;1378;805;334;115;26;330005
300;Valença;87969;4847;5383;6012;5845;5756;6096;6466;5707;5919;6213;5828;4573;3651;2570;1711;1060;506;137;31;290005
301;Petrópolis;251686;13512;14566;16995;16936;17207;17955;19476;17465;17554;17056;15556;13151;10627;7228;4833;2899;1352;410;67;330007
302;Nova Friburgo;173091;9699;10131;11009;11197;11692;12812;13857;12022;12336;12067;11040;9127;7081;4752;3219;1864;876;237;45;330008
303;Três Rios - Paraíba do Sul;77119;4678;4729;5249;5335;5335;5484;5759;5214;5251;5079;4765;3896;2894;1996;1290;764;360;101;21;330009
304;Campos dos Goytacazes;328071;19583;20934;23397;23485;24065;24562;25288;21718;21068;20717;19308;14847;11597;7470;5148;2756;1290;360;73;330010
305;Itaperuna;99443;5459;5856;6742;6673;6748;7109;7856;6889;6777;7026;6032;5084;3815;2713;1755;1118;551;170;47;330011
306;Santo Antônio de Pádua;60108;3239;3613;3913;3783;3953;4269;4662;4129;4315;4286;3716;3182;2425;1780;1185;668;313;101;15;330012
307;Cabo Frio;288376;17261;17941;19020;19543;19500;21561;23361;20234;19582;19154;17622;14531;10458;6523;4106;2357;1105;283;60;330013
308;Macaé - Rio das Ostras;261996;17064;16950;18192;19248;20556;22981;22589;18376;16225;15132;13235;10290;7119;4465;2833;1619;721;215;51;330014
309;São Paulo;10884139;628733;665229;769814;801527;826831;901700;914030;788795;728861;662953;592945;482096;363089;240769;159098;93009;44169;12482;2007;350001
310;Santos;961794;57101;58793;63000;62673;65702;73213;77805;67490;64219;62378;58770;49746;38009;24945;16350;9644;4510;1254;200;350002
311;Sorocaba;934014;56020;58009;65340;68715;72350;77615;77439;65625;60618;56994;51600;40504;29611;19576;12305;7062;3062;796;127;350003
312;Itapeva;173364;11512;12518;12504;12534;12837;13284;13262;11787;11072;10365;9109;7026;5468;3643;2228;1195;477;130;18;350004
313;Registro;125884;8617;8677;8186;8056;8252;9226;9837;8797;8159;7805;7140;5928;4354;3006;2001;1077;484;122;29;350005
314;Itapetininga;118903;7672;8043;8663;8471;8838;9199;9322;7964;7509;7066;6571;5265;3909;2619;1611;930;394;111;18;350006
315;Avaré;114898;7246;7461;7868;8073;8469;8910;8964;7961;7263;7065;6414;5234;3924;2576;1645;944;434;98;21;350007
316;Tatuí;84903;5420;5491;5963;6078;6364;6734;6686;5866;5311;5173;4721;3731;2898;1949;1203;624;287;86;11;350008
317;Bauru;329969;19317;19968;22418;23552;23959;26115;26619;23201;21596;20569;19162;15598;11760;8210;5456;3247;1479;360;42;350009
318;Jaú;166378;9536;10032;10521;11088;11853;13338;13181;11949;11211;11096;10133;8312;6195;4252;2901;1734;764;187;19;350010
319;Botucatu;129985;7909;8319;9238;9255;9615;10322;10228;9025;8359;7867;7224;6116;4580;3070;2050;1303;583;164;23;350011
320;Lins;79347;4649;4669;5127;5312;5477;5971;6299;5390;5373;5336;4831;3977;3114;2143;1426;856;371;96;15;350012
321;Marília;195579;11008;11200;12817;13260;13603;14741;15481;14008;13135;12664;11817;9839;7666;5277;3575;2134;927;270;40;350013
322;Assis;119511;7008;6941;7702;8004;8431;8888;9213;8349;8296;8182;7231;6137;4607;3258;2061;1225;544;106;29;350014
323;Ourinhos;116191;7174;7268;7667;7756;8131;8566;8676;7975;7828;7567;6741;5691;4601;3190;2073;1119;472;153;19;350015
324;Tupã;64786;3590;3917;3942;4137;4207;4731;4879;4414;4532;4436;4216;3338;2804;2031;1432;787;372;98;9;350016
325;Piraju;28803;1730;1830;1868;1828;2013;2170;2096;1947;1836;1980;1796;1518;1224;803;516;286;142;24;4;350017
326;Presidente Prudente;269295;15224;15817;17734;18120;18635;19533;20396;18773;19508;19042;16608;13314;10213;7363;4920;2718;1157;303;43;350018
327;Adamantina - Lucélia;61496;3280;3384;3637;3860;4194;4324;4502;4246;4436;4429;4202;3447;2647;2029;1391;803;333;80;21;350019
328;Dracena;65921;3718;3635;3862;4284;4518;4730;5016;4558;4621;4560;4211;3643;2763;2013;1349;817;307;93;8;350020
329;Presidente Epitácio-Presidente Venceslau;44228;2463;2590;2568;2628;2864;3153;3427;3213;3333;3398;2979;2401;1797;1236;871;452;217;46;6;350021
330;Araçatuba;158885;8950;8659;10141;10688;11386;12184;12661;11212;11101;10860;9896;8034;6193;4419;2941;1646;678;195;29;350022
331;Birigui - Penápolis;139953;8201;8130;8868;9151;9963;10469;10827;10049;9887;9591;8547;7005;5281;3789;2484;1368;581;155;23;350023
332;Andradina;93841;5304;5440;5635;5897;6187;6586;7018;6864;6988;6757;6062;5035;3906;2926;1833;995;405;113;19;350024
333;São José do Rio Preto;483883;26912;27455;31603;34522;36813;38389;39194;33657;32167;31523;28283;23520;17899;12779;8612;4993;2097;540;71;350025
334;Catanduva;123149;6959;7041;7649;8374;8841;9801;9930;8482;8634;8084;7192;6204;4903;3423;2417;1458;616;145;24;350026
335;Votuporanga;87079;4722;4806;5518;5812;6463;6590;6862;5923;5926;5837;5529;4544;3545;2619;1779;913;376;101;14;350027
336;Jales;55784;3053;3062;3169;3360;3528;3938;4257;4108;4098;4128;3858;3134;2520;1813;1208;646;261;56;9;350028
337;Fernandópolis;59421;3153;3336;3749;3941;4162;4335;4686;4163;4086;3983;3890;3256;2479;1697;1180;668;287;79;15;350029
338;Santa Fé do Sul;27970;1551;1475;1701;1797;1814;2019;2190;1953;1970;1946;1808;1598;1241;899;593;291;118;28;7;350030
339;Ribeirão Preto;744798;42888;45333;52542;56797;58768;62518;61494;50462;47193;45016;40706;33445;25290;17371;11799;6826;3209;860;128;350031
340;Barretos;213271;12135;12691;13776;14976;16123;17446;16907;14599;14143;13651;12437;10004;8085;5611;3635;2142;941;261;27;350032
341;Franca;217330;12710;14058;15782;15801;16640;16905;16846;14770;14492;13485;12163;9839;7405;4914;3254;1801;788;207;34;350033
342;São Joaquim da Barra - Orlândia;76005;4492;4950;4998;5400;5629;6215;6108;5193;5161;4811;4290;3424;2752;1772;1221;618;307;80;5;350034
343;Ituverava;57427;3304;3725;3915;3894;3945;4356;4552;3940;3884;3626;3430;2790;2204;1549;1007;563;223;76;10;350035
344;Araraquara;305794;17316;18030;20154;21736;22909;24644;25194;21484;20556;19796;17986;14449;11038;7553;5101;2909;1357;315;60;350036
345;São Carlos;257547;14182;15307;17691;17917;18954;20628;20739;17899;17001;16707;15094;12412;9627;6623;4509;2670;1281;332;52;350037
346;Campinas;1568045;89303;91649;106461;115217;123207;132019;133798;112520;104632;97313;88407;70748;51646;34215;22562;12920;5983;1679;228;350038
347;Jundiaí;500569;29495;29967;33684;36430;39935;43499;43503;35599;32444;29531;26646;21461;16244;10411;6965;4159;1814;483;65;350039
348;Piracicaba;315380;17929;19044;21608;23010;24177;26260;26108;21961;19951;19448;17683;14449;11323;7722;5066;2988;1358;355;59;350040
349;Bragança Paulista;252444;14390;14721;16716;16935;18999;20403;21015;17889;16799;15839;14635;12049;9329;6310;4142;2353;1144;302;31;350041
350;Limeira;183052;10229;11101;12849;13205;14336;14915;15029;12889;12346;11683;10673;8557;5986;4055;2573;1542;670;142;22;350042
351;Mogi Guaçu;168805;9414;9725;10980;12136;12867;13964;13531;11596;11452;11152;10128;8352;6137;4055;2643;1453;644;154;22;350043
352;São João da Boa Vista;151129;8448;9138;9861;10287;10733;11680;11692;10475;10324;10303;9211;7737;5810;4031;2690;1582;714;206;25;350044
353;Araras;133823;7774;8198;9172;9894;10421;10900;10882;9095;8814;8424;7470;6023;4499;3119;2047;1193;559;129;25;350045
354;Rio Claro;123802;7100;7322;8792;8921;9309;9973;10187;8762;8038;7584;7025;5579;4358;3098;2066;1206;604;159;13;350046
355;São José do Rio Pardo - Mococa;91052;4984;5371;5778;5999;6390;6875;7022;6113;6137;6209;5897;4930;3775;2549;1680;949;433;112;15;350047
356;Amparo;67549;3433;3698;4171;4219;4879;5226;5524;4747;4707;4462;4367;3673;2845;1954;1414;865;396;99;14;350048
357;São José dos Campos;561551;33794;33944;37823;39250;42379;46299;47665;40354;36749;35283;31737;25844;19073;12372;7538;4155;1913;514;97;350049
358;Taubaté - Pindamonhangaba;316867;18885;19421;21355;22146;23552;25681;26503;22202;21184;20000;18254;14746;10873;7057;4464;2540;1130;297;40;350050
359;Caraguatatuba - Ubatuba - São Sebastião;175761;11446;11771;12144;12798;13558;14526;15169;12745;11253;9957;8879;7241;5191;3166;1972;1089;540;142;24;350051
360;Guaratinguetá;156861;8968;9525;10249;10784;11289;11793;12354;10818;10808;10588;9688;7702;5933;4037;2482;1395;651;181;21;350052
361;Cruzeiro;76647;4629;4932;5118;4968;5228;5666;6051;5308;4929;5278;4656;3792;2874;1944;1254;733;344;79;19;350053
362;Curitiba;1842253;112566;115697;134991;143581;145315;148485;151432;130533;122328;112028;97114;77592;56431;37149;22924;13191;5957;1638;261;410001
363;Paranaguá;152821;10192;10561;10287;10763;10781;11130;11329;10242;10360;9983;8859;7117;4950;3055;1799;962;387;102;24;410002
364;União da Vitória;81090;5064;5645;6118;5921;5781;5899;5942;5552;5454;5121;4368;3349;2557;1769;1169;578;239;49;8;410003
365;Guarapuava;171625;11595;12233;13341;13310;12430;12188;12421;11341;11240;10264;8837;6956;4884;3221;1896;959;350;90;25;410004
366;Pitanga;38804;2572;2846;2547;2749;2745;2822;2801;2807;2555;2450;2150;1724;1234;831;447;240;101;19;13;410005
367;Cascavel;280141;16904;17944;20796;23131;21858;21471;20485;19243;18642;17294;14461;11414;8268;5734;3451;1853;720;160;39;410006
368;Foz do Iguaçu;215770;13871;14187;16612;17424;17146;17030;16484;15093;14239;13168;10937;8334;5782;3799;2333;1166;415;95;26;410007
369;Toledo;178451;10872;10886;12244;13425;13598;13523;13202;12182;12313;11741;9648;7626;5841;4269;2703;1377;542;134;25;410008
370;Francisco Beltrão;148154;8833;9526;10766;11353;11077;10680;10361;9589;9810;9896;8529;6783;5061;3477;2222;1172;456;107;31;410009
371;Pato Branco;142912;9107;9633;10678;11239;10990;10655;10108;9202;9149;8646;7520;6023;4447;2827;1826;1037;406;95;23;410010
372;Laranjeiras do Sul - Quedas do Iguaçu;52323;3627;3700;3844;3945;3669;3736;3657;3411;3422;3171;2709;2180;1584;1044;676;329;127;26;13;410011
373;Dois Vizinhos;44715;2645;2895;3365;3504;3423;3241;3231;2970;3016;2820;2409;1986;1379;938;606;290;100;24;12;410012
374;Marechal Cândido Rondon;43433;2588;2672;2996;3236;3254;3234;3195;2919;2860;2858;2316;1915;1562;1073;761;379;145;24;4;410013
375;Maringá;419615;23419;24370;29802;32684;32968;32206;31466;28463;28973;27722;23248;19543;14677;9961;6425;3382;1496;389;58;410014
376;Campo Mourão;165789;9860;10373;10853;11547;11651;11838;11807;11544;11992;11773;9911;8003;5899;3975;2619;1420;600;151;32;410015
377;Umuarama;153452;9080;9360;10073;10737;10716;10959;10930;10680;10907;10284;9166;7468;5522;3928;2702;1382;560;148;26;410016
378;Paranavaí;103365;6428;6470;6739;7395;7347;7194;7350;7062;7239;7086;5994;4736;3581;2644;1756;984;420;123;17;410017
379;Cianorte;81880;4923;4990;5284;5774;5878;6110;5942;5859;6024;5611;4565;3743;2754;1978;1316;803;321;76;8;410018
380;Paranacity - Colorado;32482;1966;1943;1885;2180;2239;2341;2249;2321;2455;2469;2048;1624;1073;839;505;316;129;31;7;410019
381;Loanda;30660;1940;1900;1952;2145;2156;2240;2187;2126;2157;2173;1772;1388;1039;753;500;254;120;23;5;410020
382;Londrina;556880;32009;33878;39179;41342;41129;41440;42907;37429;37781;36708;31433;26804;20158;14159;9126;5108;2206;617;88;410021
383;Santo Antônio da Platina;139828;8482;8727;9285;9799;9649;10259;10042;9369;9490;9363;8385;6755;5145;3552;2224;1297;516;128;23;410022
384;Apucarana;116213;6953;7240;7566;8157;8519;8473;8525;7778;8095;7817;6694;5597;4222;3042;1918;1044;422;102;27;410023
385;Cornélio Procópio - Bandeirantes;89075;5144;5485;5491;5753;5754;6131;6281;6142;6438;6339;5668;4839;3816;2654;1716;947;491;113;21;410024
386;Ivaiporã;69032;4372;4367;4263;4699;4558;4684;4875;4621;4958;4869;4144;3534;2643;1920;1244;613;259;88;26;410025
387;Ibaiti;28691;1825;1882;1832;1966;1967;2036;2117;1972;2001;1924;1741;1418;1020;748;429;217;100;20;8;410026
388;Ponta Grossa;323569;22235;23173;24865;25613;24981;24016;24345;21757;20100;18435;16213;12621;9109;6209;3675;2054;848;232;47;410027
389;Telêmaco Borba;90537;6340;6565;6793;6867;6770;6796;6938;6095;5618;5175;4490;3375;2489;1676;1023;510;222;43;12;410028
390;Irati;73470;4755;5135;5350;5506;5457;5515;5290;5052;4889;4570;3904;3002;2263;1624;953;478;187;39;10;410029
391;Florianópolis;666826;36165;37070;48447;56291;57971;59563;56723;45772;41912;40312;35920;28245;20985;13142;8264;4925;2320;634;108;420001
392;Criciúma;228815;13428;14014;16643;17533;18737;18939;17663;14272;14863;15363;13432;9820;7071;4652;2703;1530;632;153;14;420002
393;Tubarão;167221;9554;9908;11323;12226;13067;13025;12802;10529;11027;11751;10033;7904;6265;4077;2412;1316;539;127;14;420003
394;Araranguá;111171;6853;7150;7372;7901;8319;8442;8218;7195;7297;7684;6711;5160;3838;2414;1522;809;349;77;14;420004
395;Lages;149447;9219;9763;10882;11179;10977;11012;10733;9951;10057;9886;8382;6641;5079;3252;2033;1076;418;104;31;420005
396;Curitibanos;34444;2353;2343;2684;2655;2526;2515;2435;2358;2146;2055;1700;1277;1033;693;449;203;87;26;5;420006
397;Chapecó;229252;13215;13889;17857;19838;19597;18693;16713;14668;14126;13635;11527;8875;6705;4516;2910;1535;621;159;23;420007
398;Joaçaba - Herval d'Oeste;91595;5285;5526;6544;7008;6904;7096;6858;6067;6052;5952;5112;4075;3104;2162;1498;779;317;78;14;420008
399;São Miguel do Oeste;85908;4725;4884;5612;6098;6557;6523;5998;5602;5696;5872;5383;4277;3319;2295;1591;887;314;95;7;420009
400;Concórdia;75805;4171;4238;5300;5526;5619;5867;5624;5064;4950;4902;4329;3670;2858;1990;1285;714;300;68;8;420010
401;Xanxerê;65047;4131;4242;4897;5144;4772;4883;4609;4320;4055;4093;3523;2753;2009;1353;850;449;188;42;31;420011
402;Maravilha;27851;1513;1721;1808;1983;2061;2108;1931;1834;1839;1882;1687;1309;1059;766;510;274;109;26;5;420012
403;São Lourenço do Oeste;22729;1354;1514;1584;1650;1650;1617;1629;1513;1450;1442;1330;1017;789;579;352;198;81;17;5;420013
404;Caçador;50217;3334;3576;4175;3983;3882;3654;3676;3247;3214;2926;2446;1830;1331;870;524;277;103;24;8;420014
405;Videira;64652;3884;4192;4970;5091;4969;4969;4685;4285;4209;4096;3429;2595;2012;1393;849;475;184;37;13;420015
406;Joinville;538091;33367;33713;39995;43994;44568;45065;44333;37201;34408;32140;26754;20807;14864;9267;5612;3263;1346;330;57;420016
407;Mafra;117671;7490;8172;8567;8529;8627;8738;8801;8238;7636;7389;6393;4958;3701;2521;1539;841;351;76;12;420017
408;São Bento do Sul - Rio Negrinho;68194;4239;4623;4894;4978;5106;5464;5738;5031;4529;4347;3536;2673;1887;1323;791;415;131;35;6;420018
409;Blumenau;334723;18619;19759;24720;27662;28642;28193;27285;22995;21994;20659;17426;13687;10183;6576;4329;2412;1017;256;33;420019
410;Itajaí;454789;27513;27739;33916;39364;40224;39998;37883;29950;27503;25624;22447;17797;12243;7391;4595;2496;1075;241;41;420020
411;Brusque;118302;7014;7370;8709;10046;10504;10314;9454;7936;7511;6936;5718;4137;3104;1990;1253;758;333;74;9;420021
412;Rio do Sul;101209;6050;6370;7372;7645;8077;8218;7509;6853;6413;6346;5375;4369;3329;2289;1404;792;271;74;4;420022
413;Ibirama - Presidente Getúlio;29619;1962;1962;2290;2423;2310;2303;2102;1959;1822;1776;1469;1124;919;608;398;204;69;13;3;420023
414;Ituporanga;25680;1539;1757;1871;1903;1962;2034;1760;1672;1702;1689;1429;1087;850;541;322;178;70;15;1;420024
415;Porto Alegre;1582664;86806;92003;107794;113656;114982;120871;124879;104217;99204;102331;97735;83015;64053;43736;28482;17054;8119;2251;398;430001
416;Novo Hamburgo - São Leopoldo;431605;24431;25930;29549;31219;32283;33961;33925;29203;29512;30038;25907;19999;14774;9663;6266;3456;1438;346;47;430002
417;Tramandaí - Osório;134952;8134;8330;8529;8669;8934;9559;9686;8388;8540;9373;9326;7785;5747;3596;2101;1162;461;121;14;430003
418;Taquara - Parobé - Igrejinha;96189;5703;6043;6471;6906;7049;7379;7396;6643;6733;6629;5525;4220;3225;2187;1359;726;277;78;18;430004
419;Camaquã;63242;3585;4250;4152;4150;4126;4481;4520;4283;4391;4482;4042;3103;2362;1801;1219;699;302;86;14;430005
420;Charqueadas - Triunfo - São Jerônimo;58135;3543;3728;3967;3883;3922;4395;4255;3520;3849;3938;3718;3141;2308;1500;936;548;215;57;12;430006
421;Montenegro;44670;2482;2629;2888;3188;3286;3517;3338;2794;3000;2975;2756;2209;1707;1163;759;434;200;48;8;430007
422;Torres;38414;2154;2131;2242;2381;2563;2748;2720;2433;2635;3048;2806;2259;1749;1105;661;358;143;33;4;430008
423;Pelotas;412009;22524;24403;28650;28859;28181;30318;30052;26625;26606;27617;26062;22233;17696;12429;8004;4832;2193;568;102;430009
424;Bagé;97663;5744;6159;6833;6886;6643;7030;6896;6268;6393;6624;6174;4740;3732;2733;1815;1146;514;138;27;430010
425;Santa Maria;238867;12431;13838;17125;16528;16376;17227;16989;14754;15530;16807;15688;13195;10420;7360;5130;3085;1402;391;62;430011
426;São Gabriel - Caçapava do Sul;57301;3008;3486;3483;3692;3742;3878;4021;3646;4008;4190;3918;3154;2537;1812;1247;706;341;73;18;430012
427;Cachoeira do Sul;48615;2609;2830;2842;2874;3129;3413;3352;2967;3246;3623;3389;2994;2353;1725;1186;681;289;77;14;430013
428;Santiago;31819;1716;1826;2007;2125;2175;2197;2258;2094;2188;2352;2174;1732;1399;1083;725;410;176;32;11;430014
429;Uruguaiana;103443;6541;6728;7354;7261;7011;7351;7343;6579;6740;7090;6171;4933;3800;2661;1695;996;469;116;27;430015
