Num;Regiao;Total;Pop_10_a_14_anos;Pop_15_a_19_anos;Pop_20_a_24_anos;Pop_25_a_29_anos;Pop_30_a_34_anos;Pop_35_a_39_anos;Pop_40_a_44_anos;Pop_45_a_49_anos;Pop_50_a_54_anos;Pop_55_a_59_anos;Pop_60_a_64_anos;Pop_65_a_69_anos;Pop_70_a_74_anos;Pop_75_a_79_anos;Pop_80_a_84_anos;Pop_85_a_89_anos;Pop_90_a_94_anos;Pop_95_a_99_anos;Pop_100_anos_ou_mais;cod_rgi
98;São João do Piauí;23990;1791;1978;1898;1742;1764;1870;1786;1568;1354;1287;1082;806;659;527;355;178;75;29;6;220014
99;Corrente;57409;4856;5157;4370;4114;4017;4262;3982;3348;2842;2884;2375;1930;1589;1163;754;431;190;80;23;220015
100;Bom Jesus;36745;3140;3213;2941;2785;2806;3005;2677;2161;1724;1742;1347;1175;923;664;402;239;131;33;3;220016
101;Floriano;65218;4552;4868;4606;4566;4737;5155;4828;4181;3918;3722;3219;2692;2237;1558;1072;670;341;101;32;220017
102;Uruçuí;31128;2514;2783;2606;2528;2378;2462;2195;1677;1481;1499;1186;978;766;528;340;209;104;18;10;220018
103;Canto do Buriti;23496;1578;1772;1712;1564;1474;1782;1837;1571;1455;1387;1177;961;818;650;406;243;98;35;4;220019
104;Fortaleza;2057981;126992;134240;154598;170558;170348;174213;166322;139964;131694;121882;96009;74508;57595;37932;26969;15383;7444;2743;506;230001
105;Itapipoca;148721;11799;12201;12217;12446;11620;11831;10413;8848;7602;7326;5322;4280;3767;2511;1858;1063;601;228;43;230002
106;Redenção-Acarape;112289;7994;8367;8825;9193;8416;8709;8031;7025;6562;6301;5069;3880;3185;2187;1656;1026;543;172;35;230003
107;Canindé;94947;6818;7416;7473;7573;6962;6915;6321;5755;5519;5322;4136;3548;2998;1990;1646;914;414;170;33;230004
108;Itapajé;72692;5535;5647;5958;5988;5638;5590;5212;4584;4037;3906;2870;2300;1835;1343;1001;578;276;101;27;230005
109;Quixadá;164342;11339;12115;12790;13613;12382;11796;11436;10187;9656;9495;7452;6134;5232;3602;2848;1551;710;254;50;230006
110;Russas - Limoeiro do Norte;193234;12230;12858;14321;14642;14956;15195;14610;13154;12086;11878;9345;7779;6510;4449;3048;1733;885;300;77;230007
111;Aracati;77930;4988;5370;5607;6273;6353;6541;6034;5349;4890;4531;3420;2819;2523;1686;1003;557;334;107;28;230008
112;Iguatu;153335;10369;10577;10749;10691;11066;11549;11309;9935;9228;9271;7893;6420;5776;4132;3127;1724;765;235;59;230009
113;Icó;54409;3653;4025;3794;3693;3813;4114;3892;3571;3248;3428;2859;2349;2056;1283;1077;538;238;78;11;230010
114;Juazeiro do Norte;445017;31212;32564;36159;35606;35076;34515;33078;28328;25136;23092;18761;15446;13290;9690;7202;4057;1865;566;151;230011
115;Brejo Santo;94564;6613;6723;7377;7289;7436;7242;7113;6288;5302;5048;4216;3389;3000;2055;1651;924;404;134;34;230012
116;Crateús;129323;8631;9463;9350;9322;8940;9045;9414;8474;7849;8022;6593;5308;4614;3277;2511;1450;713;244;60;230013
117;Tauá;50992;3309;3757;3929;3821;3761;3474;3593;3240;3087;3040;2520;2104;1818;1317;1049;503;246;104;20;230014
118;Sobral;298651;20533;22205;24782;25466;24269;23299;21220;18674;16652;16207;12217;9702;8827;5881;4409;2361;1157;386;93;230015
119;São Benedito - Ipu - Guaraciaba do Norte - Tianguá;206339;15666;16267;16752;16288;15493;15524;14416;12295;11004;10694;8542;6932;6037;4052;3198;1816;907;297;92;230016
120;Acaraú;110631;8311;8700;9325;9764;9267;9384;8326;6769;5772;5055;3859;2947;2572;1872;1268;673;299;99;25;230017
121;Camocim;71633;5314;5851;6075;5849;5638;5560;5284;4649;4004;3598;2656;2270;1941;1342;872;430;218;59;24;230018
122;Natal;839886;53634;56383;62890;65994;66640;69933;66990;57036;52775;49861;39920;30930;24610;16664;11540;6664;3246;1281;266;240001
123;Santo Antônio - Passa e Fica - Nova Cruz;67601;4842;5307;5287;5221;4989;5227;4843;4344;3784;3915;2858;2328;2033;1505;1201;655;336;100;41;240002
124;Canguaretama;68024;5291;5401;5452;5485;5321;5403;4882;4341;3847;3503;2699;1907;1666;1112;905;491;241;99;35;240003
125;Santa Cruz;47215;3377;3436;3489;3737;3738;3748;3344;2959;2737;2660;2097;1641;1447;1102;822;466;208;83;19;240004
126;João Câmara;35322;2667;2953;2893;2790;2716;2863;2513;2211;1790;1835;1388;1085;964;706;490;246;142;58;12;240005
127;São Paulo do Potengi;32038;2181;2481;2406;2470;2401;2307;2150;2167;1920;1790;1564;1216;981;777;588;374;159;63;17;240006
128;Caicó;88975;5432;5853;6195;6099;6532;7420;6999;6046;5755;5890;4641;3817;3138;2221;1679;946;474;173;34;240007
129;Currais Novos;57072;3802;3927;4067;4111;4105;4580;4396;3849;3567;3603;2799;2201;1997;1295;1103;598;297;148;26;240008
130;Mossoró;239014;15473;16462;17524;18452;18874;19844;19248;16495;15628;15068;11705;8579;6696;4419;3336;1793;832;311;95;240009
131;Pau dos Ferros;115726;7809;8422;8244;8109;8099;9100;8757;7654;7220;7224;5728;4991;4145;2841;2258;1126;517;200;53;240010
132;Açu;113094;7852;8438;8375;8228;8540;9233;8715;7599;7212;7128;5357;3796;3157;2314;1635;950;425;182;81;240011
133;João Pessoa;751404;48579;50213;55517;56918;57643;61795;61627;52290;48033;43788;35263;27624;21552;14496;10106;5615;2776;825;248;250001
134;Guarabira;155369;11064;11589;11147;10966;11051;11717;11337;10168;9294;8733;7058;5674;5236;3794;2975;1739;806;262;97;250002
135;Mamanguape - Rio Tinto;74360;5730;5845;5615;5580;5518;5575;5384;4678;4305;3840;2955;2445;2184;1453;1017;623;266;87;32;250003
136;Itabaiana;32371;2247;2310;2232;2263;2365;2388;2371;2097;1994;1880;1592;1282;1080;801;594;336;167;56;39;250004
137;Campina Grande;484465;33180;34303;36105;36218;36469;37399;35988;31573;28973;27335;22560;17936;15321;11161;8045;4686;2391;833;249;250005
138;Cuité - Nova Floresta;44540;3055;3224;3176;3089;3266;3323;3155;3077;2673;2654;2084;1810;1548;1187;916;526;276;120;21;250006
139;Monteiro;27875;1939;2028;1865;1975;1906;2104;2011;1906;1721;1709;1374;1151;980;703;543;301;139;52;6;250007
140;Sumé;26265;1740;1809;1777;1684;1863;2046;1791;1772;1600;1688;1341;1080;987;725;617;332;167;68;16;250008
141;Patos;131312;9163;9807;9672;9275;9536;10282;9910;8899;7729;7519;5765;5088;4261;2934;2306;1212;600;194;47;250009
142;Itaporanga;59541;4183;4406;4158;4229;4324;4739;4455;4040;3488;3414;2890;2434;2035;1514;1053;507;238;69;36;250010
143;Catolé do Rocha - São Bento;58056;3797;4048;4258;4206;4352;4673;4651;4060;3420;3564;2871;2303;1853;1289;956;504;218;79;20;250011
144;Pombal;33429;2124;2385;2202;2179;2370;2601;2545;2277;2056;2152;1702;1429;1310;899;688;339;135;39;16;250012
145;Princesa Isabel;29390;2300;2254;2077;2149;2207;2074;2086;1973;1792;1585;1291;1135;967;721;484;276;114;26;8;250013
146;Sousa;70611;4774;4979;4816;4571;4919;5498;5508;4827;4307;4339;3448;2990;2641;1820;1489;687;319;104;56;250014
147;Cajazeiras;76844;4930;5532;5534;5715;5735;6116;5871;5042;4467;4381;3516;3223;2731;2021;1460;702;350;105;32;250015
148;Recife;2020008;120137;127081;141832;144072;150929;161231;165122;148790;139596;126689;110073;86779;65967;43199;28939;16107;7518;2370;577;260001
149;Goiana - Timbaúba;169440;12097;12623;12972;12420;12180;13225;13213;11453;10396;9529;7848;6350;4817;3245;2260;1304;564;173;64;260002
150;Palmares;102569;7936;8366;7958;7157;7852;7908;7501;6872;6163;5644;4508;3560;2690;1795;1226;604;259;65;32;260003
151;Limoeiro;109109;7288;7639;8068;7709;8001;8395;8302;7585;6687;6536;5257;4468;3721;2664;1841;1011;495;172;41;260004
152;Vitória de Santo Antão;106532;7029;7479;8129;7934;8250;8633;8665;7437;6690;6082;4821;3959;3077;1995;1503;725;352;93;44;260005
153;Carpina;91324;6204;6362;6677;6331;6819;7401;7566;6584;5993;5353;4381;3721;2728;1714;1129;605;245;85;33;260006
154;Barreiros - Sirinhaém;72072;5894;6078;5781;5413;5499;5763;5488;4695;4026;3676;2860;2169;1530;1004;627;324;121;40;14;260007
155;Surubim;69056;4738;4971;5333;5159;5211;5644;5315;4547;3991;3659;3123;2567;2279;1651;1111;622;301;118;54;260008
156;Caruaru;561156;37828;40659;44684;45345;45622;46055;42925;37921;33367;29615;23772;18342;15248;10793;7597;4082;1873;567;179;260009
