NOME_MUNICIPIO;UF;IDHM2010;IDHMRenda2010;IDHMLongevidade2010;IDHMEducacao2010;GEOCODIGO_MUNICIPIO;COD_UF;LONGITUDE;LATITUDE
Águas Formosas;MG;0,645;0,624;0,811;0,531;3100906;31;-40,935228;-17,082304
Águas Frias;SC;0,745;0,728;0,86;0,661;4200556;42;-52,859419;-26,880228
Águas Lindas de Goiás;GO;0,686;0,647;0,848;0,588;5200258;52;-48,283444;-15,737939
Águas Mornas;SC;0,723;0,731;0,853;0,606;4200606;42;-48,840538;-27,706597
Águas Vermelhas;MG;0,601;0,586;0,808;0,458;3101003;31;-41,458788;-15,74532
Agudo;RS;0,694;0,752;0,847;0,524;4300109;43;-53,258692;-29,645663
Agudos;SP;0,745;0,705;0,845;0,694;3500709;35;-48,990156;-22,474037
Agudos do Sul;PR;0,66;0,671;0,79;0,543;4100301;41;-49,338702;-25,990618
Águia Branca;ES;0,678;0,66;0,792;0,595;3200136;32;-40,736638;-18,987361
Aguiar;PB;0,597;0,632;0,753;0,447;2500205;25;-38,177582;-7,094806
Aguiarnópolis;TO;0,657;0,618;0,804;0,571;1700301;17;-47,470457;-6,547171
Aimorés;MG;0,684;0,685;0,81;0,576;3101102;31;-41,073327;-19,49195
Aiquara;BA;0,583;0,573;0,733;0,471;2900603;29;-39,885778;-14,127277
Aiuaba;CE;0,569;0,518;0,749;0,474;2300408;23;-40,12316;-6,563298
Aiuruoca;MG;0,668;0,677;0,871;0,505;3101201;31;-44,602824;-21,975897
Ajuricaba;RS;0,753;0,763;0,85;0,658;4300208;43;-53,772819;-28,237729
Alagoa;MG;0,649;0,634;0,832;0,518;3101300;31;-44,638099;-22,171136
Alagoa Grande;PB;0,582;0,576;0,797;0,43;2500304;25;-35,633892;-7,036775
Alagoa Nova;PB;0,576;0,567;0,749;0,451;2500403;25;-35,759457;-7,057799
Alagoinha;PB;0,595;0,574;0,795;0,462;2500502;25;-35,545491;-6,94814
Alagoinha;PE;0,599;0,569;0,801;0,472;2600609;26;-36,775456;-8,466271
Alagoinha do Piauí;PI;0,531;0,535;0,716;0,391;2200251;22;-40,934635;-7,008175
Alagoinhas;BA;0,683;0,681;0,79;0,592;2900702;29;-38,422616;-12,134183
Alambari;SP;0,712;0,682;0,805;0,658;3500758;35;-47,893588;-23,553899
Albertina;MG;0,673;0,684;0,813;0,549;3101409;31;-46,611603;-22,199764
Alcântara;MA;0,573;0,525;0,753;0,475;2100204;21;-44,417013;-2,403277
Alcântaras;CE;0,6;0,549;0,751;0,524;2300507;23;-40,544638;-3,586984
Alcantil;PB;0,578;0,55;0,765;0,458;2500536;25;-36,060604;-7,741477
Alcinópolis;MS;0,711;0,733;0,858;0,572;5000252;50;-53,70809;-18,325034
Alcobaça;BA;0,608;0,611;0,771;0,476;2900801;29;-39,194214;-17,518933
Aldeias Altas;MA;0,513;0,5;0,72;0,374;2100303;21;-43,468735;-4,630779
Alecrim;RS;0,672;0,683;0,852;0,522;4300307;43;-54,767096;-27,661074
Alegre;ES;0,721;0,708;0,839;0,63;3200201;32;-41,536488;-20,763265
Alegrete;RS;0,74;0,72;0,849;0,664;4300406;43;-55,79587;-29,782043
Alegrete do Piauí;PI;0,585;0,564;0,749;0,475;2200277;22;-40,857863;-7,245349
Alegria;RS;0,695;0,717;0,818;0,572;4300455;43;-54,057366;-27,8373
Além Paraíba;MG;0,726;0,713;0,857;0,626;3101508;31;-42,695947;-21,876804
Alenquer;PA;0,564;0,529;0,779;0,436;1500404;15;-54,740862;-1,951398
Alexandria;RN;0,606;0,581;0,779;0,491;2400505;24;-38,019289;-6,417136
Alexânia;GO;0,682;0,664;0,841;0,568;5200308;52;-48,509636;-16,086168
Alfenas;MG;0,761;0,737;0,841;0,712;3101607;31;-45,948918;-21,428178
Alfredo Chaves;ES;0,71;0,703;0,832;0,611;3200300;32;-40,76005;-20,630348
Alfredo Marcondes;SP;0,741;0,682;0,84;0,71;3500808;35;-51,412938;-21,952741
Alfredo Vasconcelos;MG;0,675;0,629;0,834;0,587;3101631;31;-43,77389;-21,139423
Alfredo Wagner;SC;0,668;0,702;0,882;0,481;4200705;42;-49,343812;-27,705396
Algodão de Jandaíra;PB;0,548;0,532;0,749;0,413;2500577;25;-36,006093;-6,904694
Alhandra;PB;0,582;0,544;0,778;0,465;2500601;25;-34,911985;-7,432995
Aliança;PE;0,604;0,565;0,799;0,488;2600708;26;-35,228501;-7,60473
Aliança do Tocantins;TO;0,663;0,61;0,801;0,596;1700350;17;-48,94124;-11,303743
Almadina;BA;0,563;0,563;0,751;0,421;2900900;29;-39,635903;-14,706048
Almas;TO;0,636;0,616;0,796;0,524;1700400;17;-47,174172;-11,574523
Almeirim;PA;0,642;0,659;0,809;0,497;1500503;15;-52,576835;-1,527339
Almenara;MG;0,642;0,636;0,803;0,518;3101706;31;-40,697651;-16,180616
Almino Afonso;RN;0,624;0,578;0,739;0,568;2400604;24;-37,763125;-6,157421
Almirante Tamandaré;PR;0,699;0,706;0,84;0,575;4100400;41;-49,30032;-25,313378
Almirante Tamandaré do Sul;RS;0,74;0,732;0,828;0,669;4300471;43;-52,913715;-28,113726
Aloândia;GO;0,697;0,694;0,834;0,585;5200506;52;-49,482321;-17,724909
Alpercata;MG;0,646;0,629;0,824;0,521;3101805;31;-41,989129;-18,986831
Alpestre;RS;0,671;0,7;0,795;0,543;4300505;43;-53,037366;-27,248769
Alpinópolis;MG;0,725;0,703;0,862;0,629;3101904;31;-46,389483;-20,861855
Alta Floresta;MT;0,714;0,709;0,817;0,629;5100250;51;-56,09161;-9,871723
Alta Floresta D'Oeste;RO;0,641;0,657;0,763;0,526;1100015;11;-61,999824;-11,93554
Altair;SP;0,687;0,698;0,8;0,581;3500907;35;-49,060111;-20,523305
Altamira;PA;0,665;0,662;0,811;0,548;1500602;15;-52,214376;-3,20566
Altamira do Maranhão;MA;0,549;0,486;0,719;0,473;2100402;21;-45,464676;-4,162269
Altamira do Paraná;PR;0,667;0,667;0,78;0,571;4100459;41;-52,709807;-24,801
Altaneira;CE;0,602;0,547;0,774;0,515;2300606;23;-39,745821;-6,997498
Alterosa;MG;0,668;0,657;0,847;0,536;3102001;31;-46,145321;-21,25587
Altinho;PE;0,598;0,559;0,792;0,482;2600807;26;-36,0597;-8,489593
Altinópolis;SP;0,73;0,726;0,843;0,635;3501004;35;-47,37328;-21,024583
Alto Alegre;RR;0,542;0,518;0,813;0,379;1400050;14;-61,314022;2,993823
Alto Alegre;RS;0,747;0,756;0,859;0,642;4300554;43;-52,990755;-28,774746
Alto Alegre;SP;0,7;0,683;0,817;0,616;3501103;35;-50,163597;-21,581689
Alto Alegre do Maranhão;MA;0,554;0,516;0,744;0,444;2100436;21;-44,448247;-4,207227
Alto Alegre do Pindaré;MA;0,558;0,465;0,774;0,483;2100477;21;-45,84208;-3,66517
Alto Alegre dos Parecis;RO;0,592;0,603;0,777;0,443;1100379;11;-61,853077;-12,131777
Alto Araguaia;MT;0,704;0,712;0,802;0,612;5100300;51;-53,22026;-17,31559
Alto Bela Vista;SC;0,755;0,734;0,882;0,664;4200754;42;-51,911037;-27,431138
Alto Boa Vista;MT;0,651;0,613;0,803;0,561;5100359;51;-51,379322;-11,676745
Alto Caparaó;MG;0,661;0,666;0,842;0,514;3102050;31;-41,873084;-20,444361
Alto do Rodrigues;RN;0,672;0,647;0,8;0,585;2400703;24;-36,759493;-5,293808
Alto Feliz;RS;0,734;0,74;0,886;0,603;4300570;43;-51,315816;-29,390139
Alto Garças;MT;0,701;0,707;0,835;0,583;5100409;51;-53,528454;-16,946722
Alto Horizonte;GO;0,719;0,709;0,841;0,624;5200555;52;-49,332749;-14,199227
Alto Jequitibá;MG;0,66;0,66;0,787;0,554;3153509;31;-41,967175;-20,422927
Alto Longá;PI;0,585;0,567;0,751;0,47;2200301;22;-42,210322;-5,250993
Alto Paraguai;MT;0,638;0,612;0,784;0,541;5100508;51;-56,494442;-14,514712
Alto Paraíso;PR;0,678;0,677;0,829;0,556;4128625;41;-53,732893;-23,508131
Alto Paraíso;RO;0,625;0,664;0,804;0,457;1100403;11;-63,317629;-9,716667
Alto Paraíso de Goiás;GO;0,713;0,723;0,819;0,611;5200605;52;-47,519093;-14,136245
Alto Paraná;PR;0,696;0,679;0,846;0,587;4100608;41;-52,321682;-23,127121
Alto Parnaíba;MA;0,633;0,683;0,785;0,474;2100501;21;-45,927344;-9,108366
Alto Piquiri;PR;0,676;0,669;0,798;0,578;4100707;41;-53,441249;-24,019013
Alto Rio Doce;MG;0,62;0,595;0,828;0,483;3102100;31;-43,418871;-21,022146
Alto Rio Novo;ES;0,664;0,634;0,815;0,567;3200359;32;-41,018684;-19,0575
Alto Santo;CE;0,601;0,563;0,774;0,499;2300705;23;-38,272778;-5,522082
Alto Taquari;MT;0,705;0,736;0,833;0,571;5100607;51;-53,281993;-17,834744
Altônia;PR;0,721;0,69;0,848;0,641;4100509;41;-53,891974;-23,870881
Altos;PI;0,614;0,59;0,767;0,512;2200400;22;-42,460948;-5,036546
Alumínio;SP;0,766;0,729;0,841;0,732;3501152;35;-47,259057;-23,533373
Alvarães;AM;0,527;0,499;0,778;0,377;1300029;13;-64,813535;-3,216584
Alvarenga;MG;0,592;0,589;0,798;0,441;3102209;31;-41,726442;-19,41447
Álvares Florence;SP;0,728;0,701;0,806;0,683;3501202;35;-49,911185;-20,319876
Álvares Machado;SP;0,758;0,712;0,834;0,732;3501301;35;-51,468797;-22,077779
Álvaro de Carvalho;SP;0,688;0,669;0,805;0,605;3501400;35;-49,720609;-22,076375
Alvinlândia;SP;0,722;0,721;0,791;0,659;3501509;35;-49,763033;-22,44501
Alvinópolis;MG;0,676;0,651;0,822;0,577;3102308;31;-43,066083;-20,114763
Alvorada;RS;0,699;0,694;0,874;0,564;4300604;43;-51,077729;-29,997493
