NOME_MUNICIPIO;UF;IDHM2010;IDHMRenda2010;IDHMLongevidade2010;IDHMEducacao2010;GEOCODIGO_MUNICIPIO;COD_UF;LONGITUDE;LATITUDE
Carpina;PE;0,68;0,63;0,806;0,619;2604007;26;-35,258061;-7,846887
Carrancas;MG;0,725;0,687;0,877;0,632;3114600;31;-44,643609;-21,491626
Carrapateira;PB;0,603;0,529;0,765;0,543;2504108;25;-38,344217;-7,039654
Carrasco Bonito;TO;0,594;0,543;0,728;0,531;1703891;17;-48,030633;-5,322661
Caruaru;PE;0,677;0,681;0,799;0,569;2604106;26;-35,967073;-8,285898
Carutapera;MA;0,574;0,533;0,747;0,476;2102903;21;-46,023151;-1,200602
Carvalhópolis;MG;0,724;0,688;0,85;0,648;3114709;31;-45,845639;-21,776073
Carvalhos;MG;0,646;0,667;0,82;0,492;3114808;31;-44,466015;-21,996705
Casa Branca;SP;0,73;0,727;0,835;0,64;3510807;35;-47,079758;-21,777987
Casa Grande;MG;0,652;0,608;0,823;0,555;3114907;31;-43,931467;-20,793451
Casa Nova;BA;0,57;0,577;0,736;0,435;2907202;29;-40,975797;-9,178595
Casca;RS;0,785;0,778;0,847;0,733;4304903;43;-51,983233;-28,559874
Cascalho Rico;MG;0,721;0,734;0,845;0,604;3115003;31;-47,875999;-18,57859
Cascavel;CE;0,646;0,587;0,793;0,578;2303501;23;-38,239686;-4,131434
Cascavel;PR;0,782;0,776;0,846;0,728;4104808;41;-53,459722;-24,953798
Caseara;TO;0,658;0,647;0,825;0,534;1703909;17;-49,948692;-9,267406
Caseiros;RS;0,703;0,696;0,833;0,6;4304952;43;-51,692683;-28,273565
Casimiro de Abreu;RJ;0,726;0,734;0,811;0,642;3301306;33;-42,204211;-22,479537
Casinhas;PE;0,567;0,518;0,721;0,489;2604155;26;-35,725323;-7,743207
Casserengue;PB;0,514;0,492;0,73;0,379;2504157;25;-35,816305;-6,78376
Cássia;MG;0,704;0,723;0,837;0,576;3115102;31;-46,924036;-20,582856
Cássia dos Coqueiros;SP;0,734;0,68;0,864;0,673;3510906;35;-47,167106;-21,285
Cassilândia;MS;0,727;0,756;0,811;0,627;5002902;50;-51,731577;-19,109407
Castanhal;PA;0,673;0,654;0,8;0,582;1502400;15;-47,926643;-1,295757
Castanheira;MT;0,665;0,671;0,8;0,547;5102850;51;-58,613409;-11,134108
Castanheiras;RO;0,658;0,65;0,803;0,547;1100908;11;-61,949161;-11,426842
Castelândia;GO;0,701;0,724;0,823;0,578;5205059;52;-50,22925;-18,089845
Castelo;ES;0,726;0,703;0,852;0,639;3201407;32;-41,202213;-20,602065
Castelo do Piauí;PI;0,587;0,566;0,754;0,473;2202604;22;-41,547316;-5,321544
Castilho;SP;0,731;0,688;0,827;0,686;3511003;35;-51,489407;-20,872027
Castro;PR;0,703;0,704;0,823;0,6;4104907;41;-50,002811;-24,795418
Castro Alves;BA;0,613;0,591;0,774;0,504;2907301;29;-39,426519;-12,765833
Cataguases;MG;0,751;0,718;0,861;0,685;3115300;31;-42,692085;-21,389248
Catalão;GO;0,766;0,769;0,819;0,715;5205109;52;-47,947703;-18,169573
Catanduva;SP;0,785;0,767;0,853;0,74;3511102;35;-48,975871;-21,139539
Catanduvas;PR;0,678;0,677;0,805;0,573;4105003;41;-53,153706;-25,196493
Catanduvas;SC;0,714;0,723;0,806;0,625;4204004;42;-51,658948;-27,072035
Catarina;CE;0,618;0,551;0,764;0,56;2303600;23;-39,879466;-6,127556
Catas Altas;MG;0,684;0,665;0,828;0,582;3115359;31;-43,414806;-20,074893
Catas Altas da Noruega;MG;0,6;0,588;0,799;0,46;3115409;31;-43,505059;-20,687088
Catende;PE;0,609;0,578;0,76;0,515;2604205;26;-35,721667;-8,670308
Catiguá;SP;0,751;0,734;0,852;0,676;3511201;35;-49,057742;-21,04858
Catingueira;PB;0,574;0,553;0,753;0,455;2504207;25;-37,61072;-7,12521
Catolândia;BA;0,582;0,554;0,786;0,452;2907400;29;-44,85977;-12,316006
Catolé do Rocha;PB;0,64;0,617;0,787;0,539;2504306;25;-37,7485;-6,346753
Catu;BA;0,677;0,66;0,814;0,578;2907509;29;-38,376294;-12,355187
Catuípe;RS;0,739;0,763;0,842;0,627;4305009;43;-54,012387;-28,254234
Catuji;MG;0,54;0,534;0,771;0,382;3115458;31;-41,523127;-17,301081
Catunda;CE;0,609;0,537;0,717;0,587;2303659;23;-40,205804;-4,651549
Caturaí;GO;0,664;0,665;0,815;0,54;5205208;52;-49,502853;-16,446762
Caturama;BA;0,571;0,543;0,77;0,446;2907558;29;-42,296407;-13,328201
Caturité;PB;0,623;0,617;0,782;0,502;2504355;25;-36,020659;-7,419618
Catuti;MG;0,621;0,563;0,773;0,549;3115474;31;-42,963523;-15,357379
Caucaia;CE;0,682;0,62;0,808;0,632;2303709;23;-38,664018;-3,736487
Cavalcante;GO;0,584;0,595;0,808;0,415;5205307;52;-47,463436;-13,799279
Caxambu;MG;0,743;0,77;0,848;0,629;3115508;31;-44,931499;-21,979312
Caxambu do Sul;SC;0,691;0,725;0,87;0,523;4204103;42;-52,880475;-27,161282
Caxias;MA;0,624;0,595;0,753;0,543;2103000;21;-43,358539;-4,861675
Caxias do Sul;RS;0,782;0,812;0,86;0,686;4305108;43;-51,17886;-29,166899
Caxingó;PI;0,488;0,498;0,708;0,329;2202653;22;-41,882684;-3,426938
Ceará-Mirim;RN;0,616;0,599;0,774;0,505;2402600;24;-35,424487;-5,640984
Cedral;MA;0,605;0,52;0,748;0,57;2103109;21;-44,53079;-1,997916
Cedral;SP;0,766;0,749;0,872;0,689;3511300;35;-49,272842;-20,904232
Cedro;CE;0,627;0,592;0,753;0,553;2303808;23;-39,059743;-6,604961
Cedro;PE;0,615;0,565;0,717;0,573;2604304;26;-39,237138;-7,717469
Cedro de São João;SE;0,623;0,608;0,731;0,543;2801603;28;-36,884036;-10,247765
Cedro do Abaeté;MG;0,678;0,641;0,801;0,608;3115607;31;-45,712195;-19,147168
Celso Ramos;SC;0,719;0,651;0,826;0,692;4204152;42;-51,335994;-27,634739
Centenário;RS;0,701;0,707;0,856;0,569;4305116;43;-52,002054;-27,762847
Centenário;TO;0,569;0,571;0,7;0,461;1704105;17;-47,338399;-8,958464
Centenário do Sul;PR;0,668;0,686;0,791;0,549;4105102;41;-51,59353;-22,814982
Central;BA;0,596;0,54;0,728;0,538;2907608;29;-42,112349;-11,137989
Central de Minas;MG;0,665;0,663;0,823;0,54;3115706;31;-41,310405;-18,757461
Central do Maranhão;MA;0,585;0,503;0,713;0,557;2103125;21;-44,831844;-2,191314
Centralina;MG;0,678;0,654;0,853;0,558;3115805;31;-49,196283;-18,585386
Centro do Guilherme;MA;0,542;0,51;0,707;0,442;2103158;21;-46,03996;-2,456985
Centro Novo do Maranhão;MA;0,518;0,508;0,717;0,382;2103174;21;-46,128409;-2,144292
Cerejeiras;RO;0,692;0,688;0,799;0,602;1100056;11;-60,818426;-13,195033
Ceres;GO;0,775;0,753;0,842;0,733;5205406;52;-49,603346;-15,307028
Cerqueira César;SP;0,729;0,71;0,821;0,666;3511409;35;-49,16533;-23,034797
Cerquilho;SP;0,782;0,758;0,854;0,739;3511508;35;-47,737531;-23,168673
Cerrito;RS;0,649;0,657;0,824;0,504;4305124;43;-52,814802;-31,852639
Cerro Azul;PR;0,573;0,604;0,797;0,391;4105201;41;-49,260317;-24,818947
Cerro Branco;RS;0,661;0,671;0,816;0,527;4305132;43;-52,941978;-29,656287
Cerro Corá;RN;0,607;0,573;0,754;0,518;2402709;24;-36,345741;-6,034827
Cerro Grande;RS;0,674;0,676;0,803;0,563;4305157;43;-53,165913;-27,60798
Cerro Grande do Sul;RS;0,66;0,673;0,855;0,499;4305173;43;-51,753103;-30,602029
Cerro Largo;RS;0,764;0,752;0,849;0,698;4305207;43;-54,739997;-28,147841
Cerro Negro;SC;0,621;0,634;0,829;0,455;4204178;42;-50,870062;-27,795828
Cesário Lange;SP;0,706;0,715;0,804;0,611;3511607;35;-47,952111;-23,224732
Céu Azul;PR;0,732;0,732;0,812;0,659;4105300;41;-53,857269;-25,149761
Cezarina;GO;0,711;0,684;0,807;0,652;5205455;52;-49,773169;-16,967792
Chã de Alegria;PE;0,604;0,546;0,762;0,529;2604403;26;-35,213727;-7,997901
Chã Grande;PE;0,599;0,603;0,803;0,443;2604502;26;-35,464741;-8,240113
Chã Preta;AL;0,575;0,537;0,737;0,481;2701902;27;-36,299381;-9,261422
Chácara;MG;0,664;0,65;0,878;0,512;3115904;31;-43,21877;-21,672913
Chalé;MG;0,655;0,636;0,787;0,561;3116001;31;-41,692207;-20,044253
Chapada;RS;0,757;0,752;0,849;0,679;4305306;43;-53,067277;-28,05845
Chapada da Natividade;TO;0,62;0,59;0,814;0,497;1705102;17;-47,753905;-11,624268
Chapada de Areia;TO;0,619;0,619;0,726;0,529;1704600;17;-49,183108;-10,141989
Chapada do Norte;MG;0,598;0,571;0,798;0,469;3116100;31;-42,540749;-17,086696
Chapada dos Guimarães;MT;0,688;0,677;0,833;0,578;5103007;51;-55,745005;-15,46057
Chapada Gaúcha;MG;0,635;0,573;0,82;0,546;3116159;31;-45,625584;-15,299809
Chapadão do Céu;GO;0,742;0,748;0,837;0,652;5205471;52;-52,670801;-18,394032
Chapadão do Lageado;SC;0,704;0,68;0,833;0,616;4204194;42;-49,544326;-27,585298
Chapadão do Sul;MS;0,754;0,758;0,85;0,665;5002951;50;-52,626356;-18,797773
Chapadinha;MA;0,604;0,554;0,77;0,517;2103208;21;-43,361121;-3,740025
Chapecó;SC;0,79;0,779;0,871;0,727;4204202;42;-52,617031;-27,106837
Charqueada;SP;0,736;0,72;0,82;0,675;3511706;35;-47,7757;-22,508882
Charqueadas;RS;0,747;0,726;0,87;0,659;4305355;43;-51,625006;-29,9568
Charrua;RS;0,62;0,699;0,885;0,385;4305371;43;-52,029412;-27,952831
Chaval;CE;0,586;0,524;0,716;0,536;2303907;23;-41,244596;-3,038901
Chavantes;SP;0,729;0,713;0,828;0,655;3557204;35;-49,713936;-23,032006
Chaves;PA;0,453;0,516;0,769;0,234;1502509;15;-49,989319;-0,162437
Chiador;MG;0,711;0,742;0,868;0,559;3116209;31;-43,059039;-22,003713
Chiapetta;RS;0,732;0,702;0,85;0,657;4305405;43;-53,94575;-27,917365
Chopinzinho;PR;0,74;0,74;0,817;0,671;4105409;41;-52,53396;-25,854684
Choró;CE;0,585;0,493;0,778;0,523;2303931;23;-39,137468;-4,842516
Chorozinho;CE;0,604;0,57;0,742;0,522;2303956;23;-38,501286;-4,302171
Chorrochó;BA;0,6;0,552;0,779;0,503;2907707;29;-39,10237;-8,975478
Chuí;RS;0,706;0,676;0,792;0,658;4305439;43;-53,462675;-33,687567
Chupinguaia;RO;0,652;0,659;0,82;0,514;1100924;11;-60,901848;-12,556841
Chuvisca;RS;0,616;0,655;0,818;0,437;4305447;43;-51,978542;-30,757427
Cianorte;PR;0,755;0,747;0,841;0,685;4105508;41;-52,609151;-23,653813
Cícero Dantas;BA;0,585;0,59;0,712;0,477;2907806;29;-38,383419;-10,592172
Cidade Gaúcha;PR;0,718;0,712;0,805;0,645;4105607;41;-52,940525;-23,374197
Cidade Ocidental;GO;0,717;0,706;0,814;0,641;5205497;52;-47,937131;-16,110959
Cidelândia;MA;0,6;0,562;0,728;0,529;2103257;21;-47,784233;-5,177421
Cidreira;RS;0,729;0,73;0,848;0,625;4305454;43;-50,209092;-30,18117
Cipó;BA;0,601;0,589;0,744;0,496;2907905;29;-38,517129;-11,101144
Cipotânea;MG;0,579;0,592;0,75;0,437;3116308;31;-43,367977;-20,905536
Ciríaco;RS;0,719;0,724;0,855;0,6;4305504;43;-51,883031;-28,344303
Claraval;MG;0,698;0,687;0,848;0,584;3116407;31;-47,287761;-20,398376
Claro dos Poções;MG;0,67;0,601;0,799;0,625;3116506;31;-44,20871;-17,077685
Cláudia;MT;0,699;0,719;0,809;0,586;5103056;51;-54,874182;-11,505311
Cláudio;MG;0,709;0,701;0,846;0,602;3116605;31;-44,768423;-20,444575
Clementina;SP;0,725;0,704;0,821;0,66;3511904;35;-50,450349;-21,56031
Clevelândia;PR;0,694;0,718;0,813;0,573;4105706;41;-52,352986;-26,405205
Coaraci;BA;0,613;0,615;0,762;0,491;2908002;29;-39,552304;-14,636814
Coari;AM;0,586;0,606;0,78;0,425;1301209;13;-63,142184;-4,084219
Cocal;PI;0,497;0,516;0,712;0,334;2202703;22;-41,556845;-3,470453
Cocal de Telha;PI;0,555;0,55;0,78;0,399;2202711;22;-41,979048;-4,553816
Cocal do Sul;SC;0,78;0,747;0,859;0,74;4204251;42;-49,327129;-28,603023
Cocal dos Alves;PI;0,498;0,504;0,779;0,315;2202729;22;-41,455419;-3,606073
Cocalinho;MT;0,66;0,674;0,807;0,528;5103106;51;-51,011244;-14,390366
Cocalzinho de Goiás;GO;0,657;0,648;0,826;0,531;5205513;52;-48,768967;-15,781737
Cocos;BA;0,596;0,558;0,805;0,471;2908101;29;-44,545669;-14,171078
Codajás;AM;0,563;0,546;0,775;0,421;1301308;13;-62,06343;-3,843046
Codó;MA;0,595;0,568;0,754;0,492;2103307;21;-43,88608;-4,451338
Coelho Neto;MA;0,564;0,544;0,728;0,454;2103406;21;-43,014014;-4,254738
Coimbra;MG;0,669;0,649;0,825;0,558;3116704;31;-42,805939;-20,85866
Coité do Nóia;AL;0,533;0,52;0,73;0,398;2702009;27;-36,579684;-9,638487
Coivaras;PI;0,565;0,543;0,732;0,453;2202737;22;-42,207316;-5,091308
Colares;PA;0,602;0,541;0,763;0,528;1502608;15;-48,288728;-0,932091
Colatina;ES;0,746;0,738;0,841;0,668;3201506;32;-40,630318;-19,53627
Colíder;MT;0,713;0,732;0,819;0,604;5103205;51;-55,464231;-10,80409
Colina;SP;0,757;0,72;0,845;0,712;3512001;35;-48,539738;-20,718734
Colinas;MA;0,596;0,571;0,709;0,524;2103505;21;-44,24978;-6,027366
Colinas;RS;0,765;0,786;0,84;0,678;4305587;43;-51,868576;-29,392537
Colinas do Sul;GO;0,658;0,633;0,82;0,549;5205521;52;-48,076843;-14,150185
Colinas do Tocantins;TO;0,701;0,69;0,814;0,614;1705508;17;-48,481595;-8,054625
Colméia;TO;0,671;0,645;0,816;0,574;1716703;17;-48,757067;-8,729372
Colniza;MT;0,611;0,633;0,815;0,443;5103254;51;-59,218949;-9,457904
Colômbia;SP;0,71;0,689;0,802;0,647;3512100;35;-48,687484;-20,171559
Colombo;PR;0,733;0,715;0,87;0,632;4105805;41;-49,227438;-25,29434
Colônia do Gurguéia;PI;0,628;0,578;0,778;0,55;2202752;22;-43,796017;-8,187574
Colônia do Piauí;PI;0,588;0,57;0,772;0,462;2202778;22;-42,177119;-7,223658
Colônia Leopoldina;AL;0,517;0,548;0,693;0,363;2702108;27;-35,719781;-8,912688
Colorado;PR;0,73;0,747;0,804;0,649;4105904;41;-51,974416;-22,837898
Colorado;RS;0,758;0,775;0,835;0,674;4305603;43;-52,993176;-28,522948
Colorado do Oeste;RO;0,685;0,676;0,814;0,584;1100064;11;-60,555067;-13,130564
Coluna;MG;0,583;0,59;0,782;0,43;3116803;31;-42,843655;-18,220405
Combinado;TO;0,697;0,649;0,815;0,639;1705557;17;-46,552072;-12,818608
Comendador Gomes;MG;0,697;0,703;0,85;0,566;3116902;31;-49,08143;-19,700215
Comendador Levy Gasparian;RJ;0,685;0,676;0,785;0,605;3300951;33;-43,217224;-22,033359
Comercinho;MG;0,593;0,566;0,797;0,462;3117009;31;-41,791132;-16,296595
Comodoro;MT;0,689;0,687;0,84;0,567;5103304;51;-59,790431;-13,66056
Conceição;PB;0,592;0,577;0,754;0,476;2504405;25;-38,509158;-7,560225
Conceição da Aparecida;MG;0,691;0,688;0,847;0,566;3117108;31;-46,203127;-21,09662
Conceição da Barra;ES;0,681;0,648;0,81;0,603;3201605;32;-39,727474;-18,598462
Conceição da Barra de Minas;MG;0,685;0,668;0,815;0,59;3115201;31;-44,477808;-21,131769
Conceição da Feira;BA;0,634;0,606;0,766;0,548;2908200;29;-38,999781;-12,503992
Conceição das Alagoas;MG;0,712;0,734;0,862;0,57;3117306;31;-48,381874;-19,923114
Conceição das Pedras;MG;0,668;0,642;0,821;0,566;3117207;31;-45,453679;-22,161176
Conceição de Ipanema;MG;0,676;0,664;0,825;0,565;3117405;31;-41,692449;-19,93078
Conceição de Macabu;RJ;0,712;0,698;0,806;0,642;3301405;33;-41,867759;-22,087872
Conceição do Almeida;BA;0,606;0,578;0,805;0,479;2908309;29;-39,170946;-12,77802
Conceição do Araguaia;PA;0,64;0,631;0,77;0,54;1502707;15;-49,264501;-8,264864
Conceição do Canindé;PI;0,589;0,559;0,759;0,482;2202802;22;-41,596634;-7,882704
Conceição do Castelo;ES;0,67;0,685;0,81;0,541;3201704;32;-41,245348;-20,365581
Conceição do Coité;BA;0,611;0,587;0,752;0,517;2908408;29;-39,281684;-11,561826
Conceição do Jacuípe;BA;0,663;0,63;0,799;0,579;2908507;29;-38,763674;-12,322946
Conceição do Lago-Açu;MA;0,512;0,492;0,738;0,37;2103554;21;-44,903016;-3,841118
Conceição do Mato Dentro;MG;0,634;0,622;0,794;0,517;3117504;31;-43,423436;-19,04519
Conceição do Pará;MG;0,7;0,687;0,85;0,588;3117603;31;-44,895876;-19,749056
Conceição do Rio Verde;MG;0,665;0,675;0,834;0,522;3117702;31;-45,083769;-21,877666
Conceição do Tocantins;TO;0,592;0,588;0,739;0,478;1705607;17;-47,292869;-12,217278
Conceição dos Ouros;MG;0,703;0,668;0,842;0,618;3117801;31;-45,796327;-22,417475
Conchal;SP;0,708;0,699;0,827;0,614;3512209;35;-47,174376;-22,330076
Conchas;SP;0,736;0,725;0,837;0,658;3512308;35;-48,009892;-23,012958
Concórdia;SC;0,8;0,777;0,872;0,756;4204301;42;-52,023971;-27,233659
Concórdia do Pará;PA;0,566;0,56;0,741;0,438;1502756;15;-47,949887;-1,984521
Condado;PB;0,594;0,573;0,769;0,476;2504504;25;-37,603971;-6,912307
Condado;PE;0,602;0,581;0,713;0,527;2604601;26;-35,104118;-7,589382
Conde;BA;0,56;0,551;0,705;0,451;2908606;29;-37,606978;-11,813432
Conde;PB;0,618;0,591;0,797;0,5;2504603;25;-34,907151;-7,263572
Condeúba;BA;0,582;0,559;0,789;0,447;2908705;29;-41,97081;-14,89041
Condor;RS;0,747;0,735;0,852;0,666;4305702;43;-53,488943;-28,205296
Cônego Marinho;MG;0,621;0,55;0,799;0,544;3117836;31;-44,415155;-15,29627
Confins;MG;0,747;0,706;0,83;0,711;3117876;31;-43,995596;-19,629948
Confresa;MT;0,668;0,66;0,812;0,556;5103353;51;-51,571034;-10,640731
Congo;PB;0,581;0,562;0,731;0,477;2504702;25;-36,661533;-7,792571
Congonhal;MG;0,712;0,681;0,847;0,626;3117900;31;-46,053662;-22,152561
Congonhas;MG;0,753;0,732;0,877;0,665;3118007;31;-43,856893;-20,504643
Congonhas do Norte;MG;0,568;0,566;0,746;0,433;3118106;31;-43,687632;-18,816452
Congonhinhas;PR;0,668;0,655;0,809;0,562;4106001;41;-50,554428;-23,546902
Conquista;MG;0,729;0,714;0,877;0,618;3118205;31;-47,543283;-19,936931
Conquista D'Oeste;MT;0,718;0,707;0,807;0,65;5103361;51;-59,545074;-14,536273
Conselheiro Lafaiete;MG;0,761;0,736;0,86;0,697;3118304;31;-43,788445;-20,660852
Conselheiro Mairinck;PR;0,707;0,675;0,806;0,65;4106100;41;-50,171773;-23,621562
Conselheiro Pena;MG;0,662;0,646;0,837;0,537;3118403;31;-41,471974;-19,175623
Consolação;MG;0,673;0,627;0,806;0,602;3118502;31;-45,922251;-22,550465
Constantina;RS;0,754;0,726;0,885;0,668;4305801;43;-52,987739;-27,730411
Contagem;MG;0,756;0,745;0,832;0,697;3118601;31;-44,066345;-19,943446
Contenda;PR;0,681;0,697;0,816;0,555;4106209;41;-49,531612;-25,680766
Contendas do Sincorá;BA;0,577;0,579;0,695;0,477;2908804;29;-41,046318;-13,755497
Coqueiral;MG;0,694;0,663;0,838;0,601;3118700;31;-45,440806;-21,186575
Coqueiro Baixo;RS;0,692;0,703;0,886;0,532;4305835;43;-52,094603;-29,179257
Coqueiro Seco;AL;0,586;0,582;0,757;0,457;2702207;27;-35,795363;-9,637554
Coqueiros do Sul;RS;0,746;0,806;0,84;0,614;4305850;43;-52,778801;-28,117428
Coração de Jesus;MG;0,642;0,575;0,808;0,57;3118809;31;-44,358495;-16,689323
Coração de Maria;BA;0,592;0,558;0,762;0,489;2908903;29;-38,750517;-12,247921
Corbélia;PR;0,738;0,728;0,807;0,683;4106308;41;-53,296528;-24,79965
Cordeiro;RJ;0,729;0,724;0,826;0,649;3301504;33;-42,363031;-22,027777
Cordeirópolis;SP;0,758;0,754;0,858;0,674;3512407;35;-47,458283;-22,481707
Cordeiros;BA;0,579;0,561;0,763;0,454;2909000;29;-41,935734;-15,037234
Cordilheira Alta;SC;0,747;0,735;0,855;0,662;4204350;42;-52,603251;-26,985081
Cordisburgo;MG;0,656;0,644;0,786;0,558;3118908;31;-44,322067;-19,128533
Cordislândia;MG;0,66;0,654;0,807;0,544;3119005;31;-45,70053;-21,791208
Coreaú;CE;0,61;0,526;0,758;0,568;2304004;23;-40,656951;-3,549488
Coremas;PB;0,592;0,578;0,794;0,452;2504801;25;-37,945537;-7,016918
Corguinho;MS;0,671;0,684;0,83;0,531;5003108;50;-54,830006;-19,831218
Coribe;BA;0,6;0,545;0,807;0,491;2909109;29;-44,453036;-13,827842
Corinto;MG;0,68;0,664;0,842;0,562;3119104;31;-44,456226;-18,363516
Cornélio Procópio;PR;0,759;0,746;0,848;0,692;4106407;41;-50,651484;-23,183258
Coroaci;MG;0,626;0,613;0,811;0,493;3119203;31;-42,283028;-18,618084
Coroados;SP;0,719;0,704;0,816;0,648;3512506;35;-50,287296;-21,354053
Coroatá;MA;0,576;0,545;0,737;0,475;2103604;21;-44,125599;-4,128976
Coromandel;MG;0,708;0,73;0,86;0,565;3119302;31;-47,201548;-18,473851
Coronel Barros;RS;0,744;0,793;0,852;0,61;4305871;43;-54,073662;-28,384541
Coronel Bicaco;RS;0,665;0,667;0,803;0,55;4305900;43;-53,709128;-27,717873
Coronel Domingos Soares;PR;0,6;0,609;0,792;0,447;4106456;41;-52,034539;-26,226548
Coronel Ezequiel;RN;0,587;0,545;0,778;0,476;2402808;24;-36,214771;-6,383402
Coronel Fabriciano;MG;0,755;0,715;0,865;0,696;3119401;31;-42,624347;-19,525053
Coronel Freitas;SC;0,744;0,732;0,86;0,653;4204400;42;-52,709151;-26,903251
Coronel João Pessoa;RN;0,578;0,549;0,748;0,471;2402907;24;-38,440258;-6,260112
Coronel João Sá;BA;0,535;0,545;0,716;0,392;2909208;29;-37,932964;-10,279395
Coronel José Dias;PI;0,546;0,518;0,725;0,433;2202851;22;-42,470357;-8,816369
Coronel Macedo;SP;0,69;0,653;0,811;0,619;3512605;35;-49,318912;-23,632235
Coronel Martins;SC;0,696;0,678;0,816;0,609;4204459;42;-52,669699;-26,511638
Coronel Murta;MG;0,627;0,578;0,784;0,543;3119500;31;-42,184804;-16,610268
Coronel Pacheco;MG;0,669;0,673;0,789;0,565;3119609;31;-43,268858;-21,576415
Coronel Pilar;RS;0,727;0,766;0,835;0,6;4305934;43;-51,684935;-29,27271
Coronel Sapucaia;MS;0,589;0,607;0,806;0,417;5003157;50;-55,541328;-23,276445
Coronel Vivida;PR;0,723;0,714;0,81;0,653;4106506;41;-52,567087;-25,978153
Coronel Xavier Chaves;MG;0,677;0,67;0,823;0,563;3119708;31;-44,228624;-21,024595
Córrego Danta;MG;0,692;0,683;0,844;0,575;3119807;31;-45,898471;-19,82641
Córrego do Bom Jesus;MG;0,692;0,665;0,84;0,592;3119906;31;-46,017909;-22,629922
Córrego do Ouro;GO;0,686;0,696;0,803;0,578;5205703;52;-50,555819;-16,295358
Córrego Fundo;MG;0,678;0,657;0,795;0,597;3119955;31;-45,553395;-20,455525
Córrego Novo;MG;0,632;0,596;0,805;0,525;3120003;31;-42,400138;-19,834785
Correia Pinto;SC;0,702;0,701;0,804;0,614;4204558;42;-50,363761;-27,584808
Corrente;PI;0,642;0,62;0,789;0,54;2202901;22;-45,163313;-10,440936
Correntes;PE;0,536;0,551;0,726;0,385;2604700;26;-36,329702;-9,128666
Correntina;BA;0,603;0,575;0,792;0,481;2909307;29;-44,641087;-13,341772
Cortês;PE;0,568;0,541;0,707;0,478;2604809;26;-35,541587;-8,475151
Corumbá;MS;0,7;0,701;0,834;0,586;5003207;50;-57,648985;-19,006375
Corumbá de Goiás;GO;0,68;0,665;0,829;0,571;5205802;52;-48,810345;-15,927905
Corumbaíba;GO;0,698;0,703;0,831;0,582;5205901;52;-48,556102;-18,136906
Corumbataí;SP;0,754;0,728;0,841;0,7;3512704;35;-47,62661;-22,218997
Corumbataí do Sul;PR;0,638;0,632;0,79;0,52;4106555;41;-52,124185;-24,097412
Corumbiara;RO;0,613;0,63;0,774;0,473;1100072;11;-60,948701;-12,99752
Corupá;SC;0,78;0,768;0,873;0,707;4204509;42;-49,226737;-26,431966
Coruripe;AL;0,626;0,591;0,769;0,541;2702306;27;-36,176078;-10,126547
Cosmópolis;SP;0,769;0,746;0,876;0,697;3512803;35;-47,196771;-22,645785
Cosmorama;SP;0,722;0,705;0,849;0,63;3512902;35;-49,77886;-20,477035
Costa Marques;RO;0,611;0,616;0,751;0,493;1100080;11;-64,231654;-12,436014
Costa Rica;MS;0,706;0,717;0,811;0,606;5003256;50;-53,133047;-18,543548
Cotegipe;BA;0,59;0,545;0,746;0,504;2909406;29;-44,252476;-12,028597
Cotia;SP;0,78;0,789;0,851;0,707;3513009;35;-46,931846;-23,603514
Cotiporã;RS;0,741;0,767;0,835;0,636;4305959;43;-51,696434;-28,998576
Cotriguaçu;MT;0,601;0,623;0,825;0,423;5103379;51;-58,606895;-9,886254
Couto de Magalhães de Minas;MG;0,659;0,6;0,807;0,592;3120102;31;-43,475349;-18,072059
Couto Magalhães;TO;0,605;0,574;0,76;0,508;1706001;17;-49,176572;-8,355118
Coxilha;RS;0,706;0,693;0,866;0,586;4305975;43;-52,300278;-28,121342
Coxim;MS;0,703;0,719;0,836;0,579;5003306;50;-54,758056;-18,508411
Coxixola;PB;0,641;0,586;0,794;0,567;2504850;25;-36,60483;-7,628797
Craíbas;AL;0,525;0,517;0,687;0,408;2702355;27;-36,772391;-9,619934
Crateús;CE;0,644;0,618;0,787;0,55;2304103;23;-40,6684;-5,176951
Crato;CE;0,713;0,655;0,822;0,673;2304202;23;-39,40839;-7,231753
Cravinhos;SP;0,756;0,737;0,857;0,683;3513108;35;-47,730042;-21,340431
Cravolândia;BA;0,599;0,559;0,765;0,503;2909505;29;-39,812712;-13,362623
Criciúma;SC;0,788;0,786;0,846;0,737;4204608;42;-49,36594;-28,673572
Crisólita;MG;0,585;0,579;0,799;0,432;3120151;31;-40,914895;-17,237534
Crisópolis;BA;0,543;0,542;0,765;0,387;2909604;29;-38,151716;-11,51779
Crissiumal;RS;0,712;0,702;0,835;0,616;4306007;43;-54,100035;-27,498012
Cristais;MG;0,692;0,736;0,859;0,525;3120201;31;-45,518504;-20,875233
Cristais Paulista;SP;0,734;0,723;0,802;0,682;3513207;35;-47,423806;-20,402492
Cristal;RS;0,644;0,687;0,826;0,471;4306056;43;-52,04941;-30,999345
Cristal do Sul;RS;0,66;0,641;0,826;0,542;4306072;43;-53,249184;-27,45363
Cristalândia;TO;0,673;0,663;0,805;0,57;1706100;17;-49,1863;-10,590725
Cristalândia do Piauí;PI;0,573;0,521;0,77;0,469;2203008;22;-45,186031;-10,647804
Cristália;MG;0,583;0,518;0,795;0,482;3120300;31;-42,859551;-16,712634
