Distrito;IMM2019;IMM2018;IMM2017;IMM2016;IMM2015;IMM2014;IMM2013;IMM2012;IMM2011;IMM2010;IMM2009;IMM2008;IMM2007;IMM2006;TUEF2021;TUEF2020;TUEF2019;TUEF2018;TUEF2017;TUEF2016;TUEF2015;TUEF2014;TUEF2013;TUEF2012;TUEF2011;TUEF2010;TUEB2021;TUEB2020;TUEB2019;TUEB2018;TUEB2017;TUEB2016;TUEB2015;TUEB2014;TUEB2013;TUEB2012;TUEB2011;TUEB2010;POPRUA2021;POPRUA2019;POPRUA2015;POPRUA2011;POPRUA2009;POPRUA2000;BF2020;BF2019;BF2018;BF2017;BF2016;BF2015;BF2014;BF2013;FV2021;FV2020;FV2019;FV2018;FV2017;FV2016;FV2015;FV2014;FV2013;FV2012;FV2011;FV2010;AGUA2010;AGUA2000;ESGOTO2010;ESGOTO2000;EXTPOB2020;EXTPOB2019;EXTPOB2018;EXTPOB2017;EXTPOB2016;EXTPOB2015;EXTPOB2014;EXTPOB2013;V2007;V2008;V2009;V2010;V2011;V2012;V2013;V2014;V2015;V2016;V2017;V2018;V2019;V2020;V2021;V2022;C2007;C2008;C2009;C2010;C2011;C2012;C2013;C2014;C2015;C2016;C2017;C2018;C2019;C2020;C2021;C2022
Casa Verde;71,49;72,1;71,41;70,82;71,67;70,95;68,59;69,7;69,72;69,11;67,91;68,62;66,57;66,04;93,66;97,33;102;104,69;101,56;106,29;109,26;113,02;114,77;115,92;116,03;117,1;101,56;93,09;94,97;99,93;107,09;110,27;118,91;121,98;123,89;126,15;122,76;129,23;276;240;179;0;19;9;1867;2260;2343;2000;1910;3532;1175;974;0,12;0,12;0,12;0,12;0,12;0,12;0,13;0,12;0,12;0,12;0,12;0,12;0;0;1,35;0,95;2366;2960;3094;3054;2231;2006;2046;1701;550;530;527;502;513;514;467;517;483;481;419;458;417;361;355;291;661;592;638;656;649;588;645;592;603;569;545;517;518;454;440;378
Cidade Ademar;65,86;64,94;64,4;63,62;63,71;63,26;63,15;61,82;63,13;61,26;60,01;59;58,88;58,68;80,53;85,21;86,69;86,83;84,09;87,87;90,65;93,4;94,73;93,72;93,97;90,1;78,78;73,97;75,05;77,14;84,08;79,24;85,28;86,32;85,01;84,78;84,71;84,79;154;136;71;0;2;19;14491;16023;16348;13839;14926;29745;9405;6721;16,21;16,42;16,66;16,91;17,16;22,38;18,97;18,68;19,02;19,36;16,87;16,29;0,19;0,71;11,99;17,13;18522;21434;21577;21333;18155;15961;16006;11807;2508;2611;2590;2498;2491;2543;2439;2301;2446;2438;2452;2515;2334;2113;1951;1570;2021;2025;2078;2113;2156;2082;2128;2220;2012;1955;1950;1704;1659;1657;1433;1366
Cidade Dutra;65,77;65,64;65,67;65,54;63,61;65,36;63,35;62,29;61,96;62,28;60,07;60,85;58,84;57,37;115,42;119,24;121,73;118,2;113,74;115,23;116,24;115,82;116,3;115,58;112,99;112,68;112,89;105,5;107,95;107,18;116,87;114,93;121,4;124,65;123,77;123,77;119,74;125,59;166;104;79;0;187;6;6358;7222;7729;7040;8120;19795;6090;5804;8,69;8,79;8,88;9;9,12;9,24;9,14;9,26;9,38;12,01;11,27;11,44;0,16;0,71;6,16;10,89;7635;10608;11126;10399;10498;10332;12569;10886;1544;1525;1509;1481;1447;1412;1360;1369;1415;1316;1423;1409;1319;1271;1131;934;1530;1588;1569;1633;1570;1501;1546;1658;1544;1417;1356;1296;1207;1167;1009;900
Cidade Lider;64,96;65,23;64,78;64,15;63,44;63,88;62,92;61,59;62,3;61,32;60,59;60,4;61,02;58,93;83,15;84,22;83,74;83,09;79,64;82,89;83,48;86,5;86,96;87,64;85,6;83,89;77,85;71,72;72,14;71,97;78,62;75,93;80,39;88,07;87,58;87,07;81,25;89,43;20;25;7;0;8;0;5035;5252;5835;4513;5081;9587;3504;2796;6,58;6,66;6,76;6,87;6,97;13,85;7,17;7,3;7,43;7,55;8,83;8,99;0,16;0,59;10,27;14,62;5786;7398;7448;7405;6261;5997;6210;4711;957;960;999;906;981;977;823;932;970;908;975;961;863;796;799;713;1041;1046;1074;1056;1077;1087;1095;1269;1084;1086;1073;1050;1041;1008;889;785
Cidade Tiradentes;58,87;57,39;56,89;57,71;54,31;54,05;55,32;53,6;54,57;52,45;52,18;52,14;51,54;51,65;103,1;103,29;99,52;101,91;96,18;97,31;97,63;98,33;101,25;103,52;101,48;98,45;96,72;87,38;84,58;87,12;93,81;90,94;95,03;96,21;99,03;98,95;96,19;102,1;134;176;24;0;4;2;12574;13179;13978;10490;13988;26832;9799;9096;4,09;4,18;4,27;4,37;4,47;3,65;4,56;4,74;4,86;5,45;5,45;5,59;0,55;0,9;7,49;13,11;15173;18353;17662;17726;18400;17694;15322;13266;2106;2207;2262;2315;2258;2358;2297;2369;2478;2301;2279;2245;2118;1970;1988;1605;1345;1346;1395;1430;1445;1554;1441;1469;1456;1412;1346;1395;1392;1194;1144;1053
Consolacao;79,51;79,51;79,83;79,17;77,22;76,44;79,67;78,24;78,33;77,67;76,65;75,98;75;76,63;153,62;167,61;214,1;221,35;219,92;231,25;237,23;232,35;230,6;220,42;220,73;233,21;168,56;165,33;211,07;218,63;241,19;219,98;243,19;233,04;231,93;219,09;220,34;240,49;286;260;165;159;175;167;173;165;174;93;155;313;73;62;0;0;0;0;0;0;0;0;0;0;0;0;0;0,19;0;0,3;226;306;255;148;184;119;116;96;154;144;145;119;142;129;120;133;143;139;130;165;119;131;109;106;308;316;312;283;310;273;273;288;237;239;224;239;223;215;165;180
Cursino;73,67;73,02;73,92;72,37;72,98;70,82;70,29;71,31;70,42;70,37;68,98;69,4;69,34;67,67;77,47;77,2;82,35;84,69;82,42;86,11;90,24;94,32;94,72;98,77;98,91;99,99;74,69;67,54;71,69;74,33;83,07;80,61;88,44;92,05;91,67;95,72;96,17;97,24;43;10;2;0;12;24;1668;1832;1889;1463;2097;4256;1402;839;6,36;6,41;6,47;6,53;6,59;6,52;6,72;6,8;6,88;7,77;6,61;6,69;0;0,21;2,17;2,11;2095;2598;2451;2345;2535;2249;2282;1490;512;504;537;503;450;499;461;474;483;496;512;507;473;471;473;350;773;779;828;895;920;874;892;843;825;787;803;730;732;694;557;489
Ermelino Matarazzo;65,27;65,61;63,5;63,95;64,37;64,8;62,15;61,64;62,53;62,36;62,79;61,68;60,09;59,02;106,6;109,06;109,98;108,27;104,31;105,7;105,79;109,5;109,76;107,89;108,61;106,86;101,56;93,69;95,03;95,66;103,36;94,78;100,28;102,68;102,77;100,49;106,99;101,41;237;212;148;0;90;15;5754;6573;6851;5285;6072;11457;4634;3722;8,59;8,69;8,8;8,92;9,03;8,58;8,18;8,31;8,55;8,68;8,85;9,28;0,03;0,24;7,77;16,32;6469;8113;8703;8807;7314;7159;7421;5856;836;874;851;887;822;892;837;926;924;882;913;904;859;775;749;669;974;999;977;1050;992;1017;982;977;935;914;831;779;754;715;724;648
Freguesia do O;70,43;69,86;70,42;67,95;69,23;69,18;69,2;67,87;67,1;65,35;67,05;65,64;66,1;64,9;145,95;150,71;152,87;154,29;151;152,75;156,22;153,87;153,67;153,14;155,13;152,88;140,82;129,87;130,38;132,27;144,31;154,12;165,63;166,59;163,25;159,21;149,19;163,28;101;52;80;0;16;19;2966;3470;3605;3318;3983;7119;3069;2197;4,01;4,03;4,05;4,07;4,09;4;4,13;4,14;3,4;3,4;3,8;3,82;0;0,07;1,58;1,85;3629;4654;4685;5461;4653;4738;4923;3633;871;858;868;853;841;849;747;791;830;805;820;812;711;649;568;481;1202;1262;1197;1267;1229;1146;1133;1218;1148;1014;1029;1010;856;832;741;652
Grajau;59,92;58,97;57,68;58,54;56,45;56,18;56,17;55,46;55,14;55,8;53,42;54,16;52,01;49,97;109,09;111,46;111,8;110,24;105,63;108,56;109,83;111,23;112,62;111,73;111,02;107,14;102,89;93,26;93,36;94,64;102,6;96,76;100,55;101,52;101,29;99,4;99,93;100,5;157;89;49;0;0;5;21639;24220;26101;19113;21659;44284;15370;13522;13,52;13,75;14,01;14,28;14,55;15,25;15,12;15,44;15,76;18,04;18,64;18,98;2,64;5,56;27,46;61;23212;32250;34430;29605;26441;25369;27404;23445;3931;3970;3837;3791;3777;3770;3746;3641;3871;3777;3812;4009;3701;3438;3113;2693;2986;3010;3098;3112;3192;3085;3143;3200;3235;2897;2855;2628;2579;2443;2212;2042
